id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000551,安徽,本科批,物理,,XE3E6F6,专业组1657W001,湖北汽车工业学院,5936,质量管理工程,,,,,,516,104854,,,,,,516,104854,,,,,,,,,本科,,,,,
8000552,安徽,本科批,物理,,XE3E6F6,专业组1657W001,湖北汽车工业学院,62BF,大数据管理与应用,,,,,,517,103523,,,,,,517,103523,,,,,,,,,本科,,,,,
8000553,安徽,本科批,物理,,XE3E6F6,专业组1657W002,湖北汽车工业学院,EC36,材料科学与工程（新能源汽车材料）（不招色盲、色弱者）,新能源汽车材料; 不招色盲、色弱者,,,,,519,100825,,,,,,519,100825,,,,,,,,,本科,,,,,
8000554,安徽,本科批,物理,,XE3E6F6,专业组1657W002,湖北汽车工业学院,B020,工业设计（新能源汽车造型设计）（不招色盲、色弱者）,新能源汽车造型设计; 不招色盲、色弱者,,,,,520,99522,,,,,,520,99522,,,,,,,,,本科,,,,,
8000555,安徽,本科批,物理,,XE3E6F6,专业组1657W002,湖北汽车工业学院,7B78,材料成型及控制工程（数字化设计与智能成型）（不招色盲、色弱者）,数字化设计与智能成型; 不招色盲、色弱者,,,,,520,99522,,,,,,520,99522,,,,,,,,,本科,,,,,
8000556,安徽,本科批,物理,,XE3E6F6,专业组1657W002,湖北汽车工业学院,A5D2,测控技术与仪器,,,,,,520,99522,,,,,,520,99522,,,,,,,,,本科,,,,,
8000557,安徽,本科批,物理,,XE3E6F6,专业组1657W002,湖北汽车工业学院,DE60,智能科学与技术（智能汽车）,智能汽车,,,,,521,98187,,,,,,521,98187,,,,,,,,,本科,,,,,
8000558,安徽,本科批,物理,,XE3E6F6,专业组1657W002,湖北汽车工业学院,7ECD,光电信息科学与工程（机器视觉）,机器视觉,,,,,521,98187,,,,,,521,98187,,,,,,,,,本科,,,,,
8000559,安徽,本科批,物理,,XE3E6F6,专业组1657W002,湖北汽车工业学院,5F6C,材料物理（车载芯片）（不招色盲、色弱者）,车载芯片; 不招色盲、色弱者,,,,,522,96937,,,,,,522,96937,,,,,,,,,本科,,,,,
8000560,安徽,本科批,物理,,XE3E6F6,专业组1657W002,湖北汽车工业学院,862D,计算机科学与技术（大数据技术）,大数据技术,,,,,523,95659,,,,,,523,95659,,,,,,,,,本科,,,,,
