id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000463,北京,本科批,物理,,XE3E6F6,专业组01,湖北汽车工业学院,26A7,车辆工程,,,,,,473,38024,,,,,,473,38024,,,,,,,,,本科,,,,,
8000846,北京,本科批,物理,,X4B1FD0,专业组02,井冈山大学,78FF,机械设计制造及其自动化,,,,,,478,36997,,,,,,478,36997,,,,,,,,,本科,,,,,
8000847,北京,本科批,物理,,X4B1FD0,专业组02,井冈山大学,B9A5,计算机科学与技术,,,,,,483,35931,,,,,,483,35931,,,,,,,,,本科,,,,,
8000848,北京,本科批,物理,,X4B1FD0,专业组01,井冈山大学,E042,经济与金融,,,,,,485,35549,,,,,,485,35549,,,,,,,,,本科,,,,,
8000849,北京,本科批,物理,,X4B1FD0,专业组01,井冈山大学,5E19,会计学,,,,,,486,35338,,,,,,486,35338,,,,,,,,,本科,,,,,
8000850,北京,本科批,物理,,X4B1FD0,专业组02,井冈山大学,CC9A,临床医学（五年）,五年,,,,,500,32208,,,,,,500,32208,,,,,,,,,本科,,,,,
8001425,北京,本科批,物理,,XDA307D,专业组01,中原工学院,9B5C,测控技术与仪器（中外合作办学）（（专业办学地点:龙湖校区）,中外合作办学; （专业办学地点:龙湖校区,,,,,435,44789,,,,,,435,44789,,,,,,,,,本科,,,,,
8001426,北京,本科批,物理,,XDA307D,专业组01,中原工学院,AC14,软件工程（中外合作办学）（（专业办学地点:龙湖校区）,中外合作办学; （专业办学地点:龙湖校区,,,,,436,44652,,,,,,436,44652,,,,,,,,,本科,,,,,
8001427,北京,本科批,物理,,XDA307D,专业组01,中原工学院,A91A,电气工程及其自动化（中外合作办学）（（专业办学地点:龙湖校区）,中外合作办学; （专业办学地点:龙湖校区,,,,,447,42846,,,,,,447,42846,,,,,,,,,本科,,,,,
8001918,北京,本科批,物理,,X7F825D,专业组01,衡阳师范学院,CC63,新闻学（办学地点:东校区）,办学地点:东校区,,,,,482,36158,,,,,,482,36158,,,,,,,,,本科,,,,,
8001919,北京,本科批,物理,,X7F825D,专业组01,衡阳师范学院,22D9,汉语言文学（师范）（（办学地点:西校区）,师范; （办学地点:西校区,,,,,482,36158,,,,,,482,36158,,,,,,,,,本科,,,,,
8001920,北京,本科批,物理,,X7F825D,专业组02,衡阳师范学院,C610,地理科学（师范）（（办学地点:东校区）,师范; （办学地点:东校区,,,,,487,35128,,,,,,487,35128,,,,,,,,,本科,,,,,
8002433,北京,本科批,物理,,X8645C5,专业组02,南阳师范学院,5F69,金融工程（专业办学地点:卧龙岗校区）,专业办学地点:卧龙岗校区,,,,,476,37407,,,,,,476,37407,,,,,,,,,本科,,,,,
8002434,北京,本科批,物理,,X8645C5,专业组01,南阳师范学院,74D5,汉语国际教育（师范）（（专业办学地点:卧龙岗校区）,师范; （专业办学地点:卧龙岗校区,,,,,484,35756,,,,,,484,35756,,,,,,,,,本科,,,,,
8002435,北京,本科批,物理,,X8645C5,专业组01,南阳师范学院,FF33,英语（师范）（只招英语考生）（专业办学地点:卧龙岗校区）,师范; 只招英语考生; 专业办学地点:卧龙岗校区,,,,,485,35549,,,,,,485,35549,,,,,,,,,本科,,,,,
8003334,北京,本科批,物理,,XF64CFB,专业组01,常州工学院,4154,电子商务,,,,,,484,35550,,,,,,484,35550,,,,,,,,,本科,,,,,
8003539,北京,本科批,物理,,X336DBD,专业组01,四川轻化工大学,04A0,工商管理,,,,,,483,35931,,,,,,483,35931,,,,,,,,,本科,,,,,
8003540,北京,本科批,物理,,X336DBD,专业组01,四川轻化工大学,DB75,广播电视学,,,,,,483,35931,,,,,,483,35931,,,,,,,,,本科,,,,,
8003541,北京,本科批,物理,,X336DBD,专业组01,四川轻化工大学,54B5,英语（只招英语考生）,只招英语考生,,,,,483,35931,,,,,,483,35931,,,,,,,,,本科,,,,,
8004009,北京,本科批,物理,,X030943,专业组01,山东艺术学院,D772,戏剧影视文学（专业办学地点:长清校区）,专业办学地点:长清校区,,,,,515,28850,,,,,,515,28850,,,,,,,,,本科,,,,,
8004713,北京,本科批,物理,,XB1ED15,专业组01,南京晓庄学院,206C,小学教育（师范）（（专业办学地点:方山校区）,师范; （专业办学地点:方山校区,,,,,493,33792,,,,,,493,33792,,,,,,,,,本科,,,,,
8004714,北京,本科批,物理,,XB1ED15,专业组01,南京晓庄学院,FA16,学前教育（师范）（（专业办学地点:方山校区）,师范; （专业办学地点:方山校区,,,,,493,33792,,,,,,493,33792,,,,,,,,,本科,,,,,
8004715,北京,本科批,物理,,XB1ED15,专业组01,南京晓庄学院,802C,国际经济与贸易（专业办学地点:方山校区）,专业办学地点:方山校区,,,,,493,33792,,,,,,493,33792,,,,,,,,,本科,,,,,
