id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000583,福建,本科批,物理,,XE3E6F6,专业组2724W500,湖北汽车工业学院,A5D2,测控技术与仪器,,,,,,534,51009,,,,,,534,51009,,,,,,,,,本科,,,,,
8000584,福建,本科批,物理,,XE3E6F6,专业组2724W500,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,536,49716,,,,,,536,49716,,,,,,,,,本科,,,,,
8000585,福建,本科批,历史,,XE3E6F6,专业组2724W500,湖北汽车工业学院,A5D2,测控技术与仪器,,,,,,534,51009,,,,,,534,51009,,,,,,,,,本科,,,,,
8000586,福建,本科批,历史,,XE3E6F6,专业组2724W500,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,536,49716,,,,,,536,49716,,,,,,,,,本科,,,,,
8001054,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,0541,生物科学,,,,,,530,53643,,,,,,530,53643,,,,,,,,,本科,,,,,
8001055,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,0294,物理学（师范类）,师范类,,,,,531,53005,,,,,,531,53005,,,,,,,,,本科,,,,,
8001056,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,8FA3,化学（师范类）,师范类,,,,,531,53005,,,,,,531,53005,,,,,,,,,本科,,,,,
8001057,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,D6ED,化学工程与工艺,,,,,,531,53005,,,,,,531,53005,,,,,,,,,本科,,,,,
8001058,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,4ECE,土木工程,,,,,,531,53005,,,,,,531,53005,,,,,,,,,本科,,,,,
8001059,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,7D22,材料化学,,,,,,531,53005,,,,,,531,53005,,,,,,,,,本科,,,,,
8001060,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,4718,数据科学与大数据技术,,,,,,533,51659,,,,,,533,51659,,,,,,,,,本科,,,,,
8001061,福建,本科批,物理,,X4B1FD0,专业组2869W999,井冈山大学,9569,小学教育（师范类）,师范类,,,,,533,51659,,,,,,533,51659,,,,,,,,,本科,,,,,
8001062,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,7E23,环境工程,,,,,,533,51659,,,,,,533,51659,,,,,,,,,本科,,,,,
8001063,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,B8DA,数学与应用数学（师范类）,师范类,,,,,533,51659,,,,,,533,51659,,,,,,,,,本科,,,,,
8001064,福建,本科批,物理,,X4B1FD0,专业组2869W999,井冈山大学,2242,广播电视编导,,,,,,534,51009,,,,,,534,51009,,,,,,,,,本科,,,,,
8001065,福建,本科批,物理,,X4B1FD0,专业组2869W999,井冈山大学,E6CB,社会工作,,,,,,536,49716,,,,,,536,49716,,,,,,,,,本科,,,,,
8001066,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,3C38,软件工程,,,,,,537,49034,,,,,,537,49034,,,,,,,,,本科,,,,,
8001067,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,B9A5,计算机科学与技术,,,,,,537,49034,,,,,,537,49034,,,,,,,,,本科,,,,,
8001068,福建,本科批,物理,,X4B1FD0,专业组2869W999,井冈山大学,5E19,会计学,,,,,,538,48419,,,,,,538,48419,,,,,,,,,本科,,,,,
8001069,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,7932,电子信息科学与技术,,,,,,538,48419,,,,,,538,48419,,,,,,,,,本科,,,,,
8001070,福建,本科批,物理,,X4B1FD0,专业组2869W999,井冈山大学,AFF5,汉语言文学（师范类）,师范类,,,,,539,47758,,,,,,539,47758,,,,,,,,,本科,,,,,
8001071,福建,本科批,物理,,X4B1FD0,专业组2869W999,井冈山大学,4852,应用心理学,,,,,,542,45791,,,,,,542,45791,,,,,,,,,本科,,,,,
8001072,福建,本科批,物理,,X4B1FD0,专业组2869W999,井冈山大学,927B,法学,,,,,,544,44505,,,,,,544,44505,,,,,,,,,本科,,,,,
8001073,福建,本科批,物理,,X4B1FD0,专业组2869W500,井冈山大学,97D0,临床医学,,,,,,547,42693,,,,,,547,42693,,,,,,,,,本科,,,,,
8001074,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,0541,生物科学,,,,,,530,53643,,,,,,530,53643,,,,,,,,,本科,,,,,
8001075,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,0294,物理学（师范类）,师范类,,,,,531,53005,,,,,,531,53005,,,,,,,,,本科,,,,,
8001076,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,8FA3,化学（师范类）,师范类,,,,,531,53005,,,,,,531,53005,,,,,,,,,本科,,,,,
8001077,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,D6ED,化学工程与工艺,,,,,,531,53005,,,,,,531,53005,,,,,,,,,本科,,,,,
8001078,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,4ECE,土木工程,,,,,,531,53005,,,,,,531,53005,,,,,,,,,本科,,,,,
8001079,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,7D22,材料化学,,,,,,531,53005,,,,,,531,53005,,,,,,,,,本科,,,,,
8001080,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,4718,数据科学与大数据技术,,,,,,533,51659,,,,,,533,51659,,,,,,,,,本科,,,,,
8001081,福建,本科批,历史,,X4B1FD0,专业组2869W999,井冈山大学,9569,小学教育（师范类）,师范类,,,,,533,51659,,,,,,533,51659,,,,,,,,,本科,,,,,
8001082,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,7E23,环境工程,,,,,,533,51659,,,,,,533,51659,,,,,,,,,本科,,,,,
8001083,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,B8DA,数学与应用数学（师范类）,师范类,,,,,533,51659,,,,,,533,51659,,,,,,,,,本科,,,,,
8001084,福建,本科批,历史,,X4B1FD0,专业组2869W999,井冈山大学,2242,广播电视编导,,,,,,534,51009,,,,,,534,51009,,,,,,,,,本科,,,,,
8001085,福建,本科批,历史,,X4B1FD0,专业组2869W999,井冈山大学,E6CB,社会工作,,,,,,536,49716,,,,,,536,49716,,,,,,,,,本科,,,,,
8001086,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,3C38,软件工程,,,,,,537,49034,,,,,,537,49034,,,,,,,,,本科,,,,,
8001087,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,B9A5,计算机科学与技术,,,,,,537,49034,,,,,,537,49034,,,,,,,,,本科,,,,,
8001088,福建,本科批,历史,,X4B1FD0,专业组2869W999,井冈山大学,5E19,会计学,,,,,,538,48419,,,,,,538,48419,,,,,,,,,本科,,,,,
8001089,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,7932,电子信息科学与技术,,,,,,538,48419,,,,,,538,48419,,,,,,,,,本科,,,,,
8001090,福建,本科批,历史,,X4B1FD0,专业组2869W999,井冈山大学,AFF5,汉语言文学（师范类）,师范类,,,,,539,47758,,,,,,539,47758,,,,,,,,,本科,,,,,
8001091,福建,本科批,历史,,X4B1FD0,专业组2869W999,井冈山大学,4852,应用心理学,,,,,,542,45791,,,,,,542,45791,,,,,,,,,本科,,,,,
8001092,福建,本科批,历史,,X4B1FD0,专业组2869W999,井冈山大学,927B,法学,,,,,,544,44505,,,,,,544,44505,,,,,,,,,本科,,,,,
8001093,福建,本科批,历史,,X4B1FD0,专业组2869W500,井冈山大学,97D0,临床医学,,,,,,547,42693,,,,,,547,42693,,,,,,,,,本科,,,,,
8001569,福建,本科批,物理,,XDA307D,专业组3602W500,中原工学院,1369,土木类（含土木工程、城市地下空间工程）,含土木工程、城市地下空间工程,,,,,506,70247,,,,,,506,70247,,,,,,,,,本科,,,,,
8001570,福建,本科批,物理,,XDA307D,专业组3602W500,中原工学院,A58B,工业设计（人校后须加试徒手画）,人校后须加试徒手画,,,,,507,69553,,,,,,507,69553,,,,,,,,,本科,,,,,
8001571,福建,本科批,物理,,XDA307D,专业组3602W500,中原工学院,F620,安全工程,,,,,,508,68839,,,,,,508,68839,,,,,,,,,本科,,,,,
8001572,福建,本科批,物理,,XDA307D,专业组3602W500,中原工学院,EAB4,轻化工程,,,,,,508,68839,,,,,,508,68839,,,,,,,,,本科,,,,,
8001573,福建,本科批,物理,,XDA307D,专业组3602W500,中原工学院,E522,非织造材料与工程,,,,,,513,65358,,,,,,513,65358,,,,,,,,,本科,,,,,
8001574,福建,本科批,物理,,XDA307D,专业组3602W500,中原工学院,52FD,应用化学,,,,,,513,65358,,,,,,513,65358,,,,,,,,,本科,,,,,
8001575,福建,本科批,物理,,XDA307D,专业组3602W500,中原工学院,3557,能源与动力工程,,,,,,515,63917,,,,,,515,63917,,,,,,,,,本科,,,,,
8001576,福建,本科批,物理,,XDA307D,专业组3602W999,中原工学院,371D,工程造价,,,,,,519,61072,,,,,,519,61072,,,,,,,,,本科,,,,,
8001577,福建,本科批,物理,,XDA307D,专业组3602W999,中原工学院,92DB,知识产权,,,,,,523,58421,,,,,,523,58421,,,,,,,,,本科,,,,,
8001578,福建,本科批,物理,,XDA307D,专业组3602W999,中原工学院,5257,工业工程,,,,,,527,55690,,,,,,527,55690,,,,,,,,,本科,,,,,
8001579,福建,本科批,历史,,XDA307D,专业组3602W500,中原工学院,1369,土木类（含土木工程、城市地下空间工程）,含土木工程、城市地下空间工程,,,,,506,70247,,,,,,506,70247,,,,,,,,,本科,,,,,
8001580,福建,本科批,历史,,XDA307D,专业组3602W500,中原工学院,A58B,工业设计（人校后须加试徒手画）,人校后须加试徒手画,,,,,507,69553,,,,,,507,69553,,,,,,,,,本科,,,,,
8001581,福建,本科批,历史,,XDA307D,专业组3602W500,中原工学院,F620,安全工程,,,,,,508,68839,,,,,,508,68839,,,,,,,,,本科,,,,,
8001582,福建,本科批,历史,,XDA307D,专业组3602W500,中原工学院,EAB4,轻化工程,,,,,,508,68839,,,,,,508,68839,,,,,,,,,本科,,,,,
