id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000817,甘肃,本科批,物理,,XE3E6F6,专业组002,湖北汽车工业学院,0E5F,工业工程（汽车产业）,汽车产业,,,,,485,38906,,,,,,485,38906,,,,,,,,,本科,,,,,
8000818,甘肃,本科批,物理,,XE3E6F6,专业组003,湖北汽车工业学院,7B78,材料成型及控制工程（数字化设计与智能成型）（不招色盲、色弱者）,数字化设计与智能成型; 不招色盲、色弱者,,,,,486,38469,,,,,,486,38469,,,,,,,,,本科,,,,,
8000819,甘肃,本科批,物理,,XE3E6F6,专业组003,湖北汽车工业学院,F0A9,汽车服务工程（智能诊断）,智能诊断,,,,,486,38469,,,,,,486,38469,,,,,,,,,本科,,,,,
8000820,甘肃,本科批,物理,,XE3E6F6,专业组003,湖北汽车工业学院,5F6C,材料物理（车载芯片）（不招色盲、色弱者）,车载芯片; 不招色盲、色弱者,,,,,486,38469,,,,,,486,38469,,,,,,,,,本科,,,,,
8000821,甘肃,本科批,物理,,XE3E6F6,专业组003,湖北汽车工业学院,EC36,材料科学与工程（新能源汽车材料）（不招色盲、色弱者）,新能源汽车材料; 不招色盲、色弱者,,,,,486,38469,,,,,,486,38469,,,,,,,,,本科,,,,,
8000822,甘肃,本科批,物理,,XE3E6F6,专业组003,湖北汽车工业学院,A5D2,测控技术与仪器,,,,,,486,38469,,,,,,486,38469,,,,,,,,,本科,,,,,
8000823,甘肃,本科批,物理,,XE3E6F6,专业组003,湖北汽车工业学院,862D,计算机科学与技术（大数据技术）,大数据技术,,,,,489,37229,,,,,,489,37229,,,,,,,,,本科,,,,,
8000824,甘肃,本科批,物理,,XE3E6F6,专业组003,湖北汽车工业学院,E4CD,智能制造工程（汽车方向）,汽车方向,,,,,490,36848,,,,,,490,36848,,,,,,,,,本科,,,,,
8000825,甘肃,本科批,物理,,XE3E6F6,专业组003,湖北汽车工业学院,18FB,电子信息科学与技术（汽车芯片）,汽车芯片,,,,,491,36422,,,,,,491,36422,,,,,,,,,本科,,,,,
8000826,甘肃,本科批,物理,,XE3E6F6,专业组003,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,491,36422,,,,,,491,36422,,,,,,,,,本科,,,,,
8000827,甘肃,本科批,物理,,XE3E6F6,专业组003,湖北汽车工业学院,A5B7,电气工程及其自动化,,,,,,493,35593,,,,,,493,35593,,,,,,,,,本科,,,,,
8000828,甘肃,本科批,物理,,XE3E6F6,专业组003,湖北汽车工业学院,7B26,自动化（含电动汽车工程、湖北省产业计划）,含电动汽车工程、湖北省产业计划,,,,,496,34361,,,,,,496,34361,,,,,,,,,本科,,,,,
8000829,甘肃,本科批,历史,,XE3E6F6,专业组002,湖北汽车工业学院,0E5F,工业工程（汽车产业）,汽车产业,,,,,485,38906,,,,,,485,38906,,,,,,,,,本科,,,,,
8000830,甘肃,本科批,历史,,XE3E6F6,专业组003,湖北汽车工业学院,7B78,材料成型及控制工程（数字化设计与智能成型）（不招色盲、色弱者）,数字化设计与智能成型; 不招色盲、色弱者,,,,,486,38469,,,,,,486,38469,,,,,,,,,本科,,,,,
8000831,甘肃,本科批,历史,,XE3E6F6,专业组003,湖北汽车工业学院,F0A9,汽车服务工程（智能诊断）,智能诊断,,,,,486,38469,,,,,,486,38469,,,,,,,,,本科,,,,,
8000832,甘肃,本科批,历史,,XE3E6F6,专业组003,湖北汽车工业学院,5F6C,材料物理（车载芯片）（不招色盲、色弱者）,车载芯片; 不招色盲、色弱者,,,,,486,38469,,,,,,486,38469,,,,,,,,,本科,,,,,
8000833,甘肃,本科批,历史,,XE3E6F6,专业组003,湖北汽车工业学院,EC36,材料科学与工程（新能源汽车材料）（不招色盲、色弱者）,新能源汽车材料; 不招色盲、色弱者,,,,,486,38469,,,,,,486,38469,,,,,,,,,本科,,,,,
8000834,甘肃,本科批,历史,,XE3E6F6,专业组003,湖北汽车工业学院,A5D2,测控技术与仪器,,,,,,486,38469,,,,,,486,38469,,,,,,,,,本科,,,,,
8000835,甘肃,本科批,历史,,XE3E6F6,专业组003,湖北汽车工业学院,862D,计算机科学与技术（大数据技术）,大数据技术,,,,,489,37229,,,,,,489,37229,,,,,,,,,本科,,,,,
8000836,甘肃,本科批,历史,,XE3E6F6,专业组003,湖北汽车工业学院,E4CD,智能制造工程（汽车方向）,汽车方向,,,,,490,36848,,,,,,490,36848,,,,,,,,,本科,,,,,
8000837,甘肃,本科批,历史,,XE3E6F6,专业组003,湖北汽车工业学院,18FB,电子信息科学与技术（汽车芯片）,汽车芯片,,,,,491,36422,,,,,,491,36422,,,,,,,,,本科,,,,,
8000838,甘肃,本科批,历史,,XE3E6F6,专业组003,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,491,36422,,,,,,491,36422,,,,,,,,,本科,,,,,
8000839,甘肃,本科批,历史,,XE3E6F6,专业组003,湖北汽车工业学院,A5B7,电气工程及其自动化,,,,,,493,35593,,,,,,493,35593,,,,,,,,,本科,,,,,
8000840,甘肃,本科批,历史,,XE3E6F6,专业组003,湖北汽车工业学院,7B26,自动化（含电动汽车工程、湖北省产业计划）,含电动汽车工程、湖北省产业计划,,,,,496,34361,,,,,,496,34361,,,,,,,,,本科,,,,,
8001390,甘肃,本科批,物理,,X4B1FD0,专业组004,井冈山大学,2242,广播电视编导,,,,,,482,40148,,,,,,482,40148,,,,,,,,,本科,,,,,
8001391,甘肃,本科批,物理,,X4B1FD0,专业组004,井冈山大学,E042,经济与金融,,,,,,483,39749,,,,,,483,39749,,,,,,,,,本科,,,,,
8001392,甘肃,本科批,物理,,X4B1FD0,专业组004,井冈山大学,AFF5,汉语言文学（师范类）,师范类,,,,,483,39749,,,,,,483,39749,,,,,,,,,本科,,,,,
8001393,甘肃,本科批,物理,,X4B1FD0,专业组005,井冈山大学,B9A5,计算机科学与技术,,,,,,483,39749,,,,,,483,39749,,,,,,,,,本科,,,,,
8001394,甘肃,本科批,物理,,X4B1FD0,专业组005,井冈山大学,0541,生物科学,,,,,,483,39749,,,,,,483,39749,,,,,,,,,本科,,,,,
8001395,甘肃,本科批,物理,,X4B1FD0,专业组005,井冈山大学,0294,物理学（师范类）,师范类,,,,,484,39347,,,,,,484,39347,,,,,,,,,本科,,,,,
8001396,甘肃,本科批,物理,,X4B1FD0,专业组005,井冈山大学,A39E,预防医学,,,,,,485,38906,,,,,,485,38906,,,,,,,,,本科,,,,,
8001397,甘肃,本科批,物理,,X4B1FD0,专业组005,井冈山大学,97D0,临床医学,,,,,,485,38906,,,,,,485,38906,,,,,,,,,本科,,,,,
8001398,甘肃,本科批,物理,,X4B1FD0,专业组005,井冈山大学,817D,康复治疗学,,,,,,487,38072,,,,,,487,38072,,,,,,,,,本科,,,,,
8001399,甘肃,本科批,物理,,X4B1FD0,专业组005,井冈山大学,4ECE,土木工程,,,,,,487,38072,,,,,,487,38072,,,,,,,,,本科,,,,,
8001400,甘肃,本科批,物理,,X4B1FD0,专业组005,井冈山大学,5DA6,口腔医学,,,,,,487,38072,,,,,,487,38072,,,,,,,,,本科,,,,,
8001401,甘肃,本科批,物理,,X4B1FD0,专业组005,井冈山大学,B8DA,数学与应用数学（师范类）,师范类,,,,,487,38072,,,,,,487,38072,,,,,,,,,本科,,,,,
8001402,甘肃,本科批,物理,,X4B1FD0,专业组004,井冈山大学,5E19,会计学,,,,,,487,38072,,,,,,487,38072,,,,,,,,,本科,,,,,
8001403,甘肃,本科批,物理,,X4B1FD0,专业组005,井冈山大学,03FE,中医学,,,,,,497,33984,,,,,,497,33984,,,,,,,,,本科,,,,,
8001404,甘肃,本科批,历史,,X4B1FD0,专业组004,井冈山大学,2242,广播电视编导,,,,,,482,40148,,,,,,482,40148,,,,,,,,,本科,,,,,
8001405,甘肃,本科批,历史,,X4B1FD0,专业组004,井冈山大学,E042,经济与金融,,,,,,483,39749,,,,,,483,39749,,,,,,,,,本科,,,,,
8001406,甘肃,本科批,历史,,X4B1FD0,专业组004,井冈山大学,AFF5,汉语言文学（师范类）,师范类,,,,,483,39749,,,,,,483,39749,,,,,,,,,本科,,,,,
8001407,甘肃,本科批,历史,,X4B1FD0,专业组005,井冈山大学,B9A5,计算机科学与技术,,,,,,483,39749,,,,,,483,39749,,,,,,,,,本科,,,,,
8001408,甘肃,本科批,历史,,X4B1FD0,专业组005,井冈山大学,0541,生物科学,,,,,,483,39749,,,,,,483,39749,,,,,,,,,本科,,,,,
8001409,甘肃,本科批,历史,,X4B1FD0,专业组005,井冈山大学,0294,物理学（师范类）,师范类,,,,,484,39347,,,,,,484,39347,,,,,,,,,本科,,,,,
8001410,甘肃,本科批,历史,,X4B1FD0,专业组005,井冈山大学,A39E,预防医学,,,,,,485,38906,,,,,,485,38906,,,,,,,,,本科,,,,,
8001411,甘肃,本科批,历史,,X4B1FD0,专业组005,井冈山大学,97D0,临床医学,,,,,,485,38906,,,,,,485,38906,,,,,,,,,本科,,,,,
8001412,甘肃,本科批,历史,,X4B1FD0,专业组005,井冈山大学,817D,康复治疗学,,,,,,487,38072,,,,,,487,38072,,,,,,,,,本科,,,,,
8001413,甘肃,本科批,历史,,X4B1FD0,专业组005,井冈山大学,4ECE,土木工程,,,,,,487,38072,,,,,,487,38072,,,,,,,,,本科,,,,,
8001414,甘肃,本科批,历史,,X4B1FD0,专业组005,井冈山大学,5DA6,口腔医学,,,,,,487,38072,,,,,,487,38072,,,,,,,,,本科,,,,,
8001415,甘肃,本科批,历史,,X4B1FD0,专业组005,井冈山大学,B8DA,数学与应用数学（师范类）,师范类,,,,,487,38072,,,,,,487,38072,,,,,,,,,本科,,,,,
8001416,甘肃,本科批,历史,,X4B1FD0,专业组004,井冈山大学,5E19,会计学,,,,,,487,38072,,,,,,487,38072,,,,,,,,,本科,,,,,
8001417,甘肃,本科批,历史,,X4B1FD0,专业组005,井冈山大学,03FE,中医学,,,,,,497,33984,,,,,,497,33984,,,,,,,,,本科,,,,,
8001751,甘肃,本科批,物理,,XDA307D,专业组002,中原工学院,371D,工程造价,,,,,,448,55570,,,,,,448,55570,,,,,,,,,本科,,,,,
8001752,甘肃,本科批,物理,,XDA307D,专业组003,中原工学院,75BF,纺织工程,,,,,,463,48551,,,,,,463,48551,,,,,,,,,本科,,,,,
8001753,甘肃,本科批,物理,,XDA307D,专业组003,中原工学院,52FD,应用化学,,,,,,467,46764,,,,,,467,46764,,,,,,,,,本科,,,,,
8001754,甘肃,本科批,物理,,XDA307D,专业组003,中原工学院,6A3A,建筑环境与能源应用工程,,,,,,467,46764,,,,,,467,46764,,,,,,,,,本科,,,,,
8001755,甘肃,本科批,物理,,XDA307D,专业组003,中原工学院,A8BB,数据计算及应用,,,,,,469,45882,,,,,,469,45882,,,,,,,,,本科,,,,,
8001756,甘肃,本科批,历史,,XDA307D,专业组002,中原工学院,371D,工程造价,,,,,,448,55570,,,,,,448,55570,,,,,,,,,本科,,,,,
8001757,甘肃,本科批,历史,,XDA307D,专业组003,中原工学院,75BF,纺织工程,,,,,,463,48551,,,,,,463,48551,,,,,,,,,本科,,,,,
8001758,甘肃,本科批,历史,,XDA307D,专业组003,中原工学院,52FD,应用化学,,,,,,467,46764,,,,,,467,46764,,,,,,,,,本科,,,,,
8001759,甘肃,本科批,历史,,XDA307D,专业组003,中原工学院,6A3A,建筑环境与能源应用工程,,,,,,467,46764,,,,,,467,46764,,,,,,,,,本科,,,,,
8001760,甘肃,本科批,历史,,XDA307D,专业组003,中原工学院,A8BB,数据计算及应用,,,,,,469,45882,,,,,,469,45882,,,,,,,,,本科,,,,,
8001915,甘肃,本科批,物理,,XBE8F26,专业组001,贵州师范学院,DBB2,历史学（师范类）,师范类,,,,,497,9350,,,,,,497,9350,,,,,,,,,本科,,,,,
8001916,甘肃,本科批,历史,,XBE8F26,专业组001,贵州师范学院,DBB2,历史学（师范类）,师范类,,,,,497,9350,,,,,,497,9350,,,,,,,,,本科,,,,,
8002393,甘肃,本科批,物理,,X7F825D,专业组003,衡阳师范学院,5B8B,高分子材料与工程,,,,,,475,43271,,,,,,475,43271,,,,,,,,,本科,,,,,
