id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000009,广东,本科批,物理,,X0949A1,,中山大学,B9A5,计算机科学与技术,,,,120,,638,5200,,,,,,638,5200,120,,,,,,,,本科,,,,,
8000010,广东,本科批,物理,,X0949A1,,中山大学,3A8E,临床医学(八年制),八年制,,,45,,650,3000,,,,,,650,3000,45,,,,,,,,本科,,,,,
8000011,广东,本科批,物理,,X0949A1,,中山大学,0FBC,金融学,,,,60,,625,8500,,,,,,625,8500,60,,,,,,,,本科,,,,,
8000012,广东,本科批,物理,,X0949A1,,中山大学,927B,法学,,,,40,,622,9000,,,,,,622,9000,40,,,,,,,,本科,,,,,
8000686,广东,本科批,物理,,XE3E6F6,专业组202,湖北汽车工业学院,F45C,车辆工程（中外合作办学）（与英国博尔顿大学中外合作办学项目，具体培养模式和学习费用请查看学校网站；请非英语语种的考生慎重报考；住宿费：待定；办学地点：校本部）,中外合作办学; 与英国博尔顿大学中外合作办学项目，具体培养模式和学习费用请查看学校网站；请非英语语种的考生慎重报考；住宿费：待定；办学地点：校本部,,,,,521,113432,,,,,,521,113432,,,,,,,,,本科,,,,,
8000687,广东,本科批,物理,,XE3E6F6,专业组201,湖北汽车工业学院,C8B3,工业设计（新能源汽车造型设计）（住宿费：待定；特征要求：不招色盲色弱；办学地点：校本部）,新能源汽车造型设计; 住宿费：待定；特征要求：不招色盲色弱；办学地点：校本部,,,,,526,105691,,,,,,526,105691,,,,,,,,,本科,,,,,
8000688,广东,本科批,历史,,XE3E6F6,专业组202,湖北汽车工业学院,F45C,车辆工程（中外合作办学）（与英国博尔顿大学中外合作办学项目，具体培养模式和学习费用请查看学校网站；请非英语语种的考生慎重报考；住宿费：待定；办学地点：校本部）,中外合作办学; 与英国博尔顿大学中外合作办学项目，具体培养模式和学习费用请查看学校网站；请非英语语种的考生慎重报考；住宿费：待定；办学地点：校本部,,,,,521,113432,,,,,,521,113432,,,,,,,,,本科,,,,,
8000689,广东,本科批,历史,,XE3E6F6,专业组201,湖北汽车工业学院,C8B3,工业设计（新能源汽车造型设计）（住宿费：待定；特征要求：不招色盲色弱；办学地点：校本部）,新能源汽车造型设计; 住宿费：待定；特征要求：不招色盲色弱；办学地点：校本部,,,,,526,105691,,,,,,526,105691,,,,,,,,,本科,,,,,
8001242,广东,本科批,物理,,X4B1FD0,专业组205,井冈山大学,4D14,药学（住宿费：待定；特征要求：不招色盲色弱；办学地点：校本部）,住宿费：待定；特征要求：不招色盲色弱；办学地点：校本部,,,,,502,145112,,,,,,502,145112,,,,,,,,,本科,,,,,
8001243,广东,本科批,物理,,X4B1FD0,专业组205,井冈山大学,E396,护理学（住宿费：待定；特征要求：不招色盲色弱；办学地点：校本部）,住宿费：待定；特征要求：不招色盲色弱；办学地点：校本部,,,,,503,143405,,,,,,503,143405,,,,,,,,,本科,,,,,
