id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000690,广西,本科批,物理,,XE3E6F6,专业组152,湖北汽车工业学院,5936,质量管理工程,,,,,,465,81472,,,,,,465,81472,,,,,,,,,本科,,,,,
8000691,广西,本科批,物理,,XE3E6F6,专业组152,湖北汽车工业学院,62BF,大数据管理与应用,,,,,,472,76109,,,,,,472,76109,,,,,,,,,本科,,,,,
8000692,广西,本科批,物理,,XE3E6F6,专业组151,湖北汽车工业学院,6EAA,数学与应用数学（金融大数据）,金融大数据,,,,,480,70211,,,,,,480,70211,,,,,,,,,本科,,,,,
8000693,广西,本科批,物理,,XE3E6F6,专业组151,湖北汽车工业学院,7ECD,光电信息科学与工程（机器视觉）,机器视觉,,,,,480,70211,,,,,,480,70211,,,,,,,,,本科,,,,,
8000694,广西,本科批,物理,,XE3E6F6,专业组151,湖北汽车工业学院,7557,增材制造工程（汽车零部件轻量化设计及3D打印成型）（不招色盲、色弱者）,汽车零部件轻量化设计及3D打印成型; 不招色盲、色弱者,,,,,481,69489,,,,,,481,69489,,,,,,,,,本科,,,,,
8000695,广西,本科批,物理,,XE3E6F6,专业组151,湖北汽车工业学院,B1D8,高分子材料与工程（功能高分子材料）（不招色盲、色弱者）,功能高分子材料; 不招色盲、色弱者,,,,,481,69489,,,,,,481,69489,,,,,,,,,本科,,,,,
8000696,广西,本科批,物理,,XE3E6F6,专业组151,湖北汽车工业学院,5F6C,材料物理（车载芯片）（不招色盲、色弱者）,车载芯片; 不招色盲、色弱者,,,,,481,69489,,,,,,481,69489,,,,,,,,,本科,,,,,
8000697,广西,本科批,物理,,XE3E6F6,专业组151,湖北汽车工业学院,A5D2,测控技术与仪器,,,,,,481,69489,,,,,,481,69489,,,,,,,,,本科,,,,,
8000698,广西,本科批,物理,,XE3E6F6,专业组151,湖北汽车工业学院,F0A9,汽车服务工程（智能诊断）,智能诊断,,,,,482,68770,,,,,,482,68770,,,,,,,,,本科,,,,,
8000699,广西,本科批,物理,,XE3E6F6,专业组151,湖北汽车工业学院,B020,工业设计（新能源汽车造型设计）（不招色盲、色弱者）,新能源汽车造型设计; 不招色盲、色弱者,,,,,482,68770,,,,,,482,68770,,,,,,,,,本科,,,,,
