id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000086,贵州,本科批,物理,,XE3E6F6,,湖北汽车工业学院,EA04,市场营销（汽车数字化营销）（外语语种要求：不限）,汽车数字化营销; 外语语种要求：不限,,,,,451,95543,,,,,,451,95543,,,,,,,,,本科,,,,,
8000087,贵州,本科批,物理,,XE3E6F6,,湖北汽车工业学院,C2D2,数学与应用数学（金融大数据）（外语语种要求：不限）,金融大数据; 外语语种要求：不限,,,,,469,77594,,,,,,469,77594,,,,,,,,,本科,,,,,
8000088,贵州,本科批,物理,,XE3E6F6,,湖北汽车工业学院,5EB3,高分子材料与工程（功能高分子材料）（不招色盲色弱）（外语语种要求：不限）,功能高分子材料; 不招色盲色弱; 外语语种要求：不限,,,,,474,73189,,,,,,474,73189,,,,,,,,,本科,,,,,
8000089,贵州,本科批,物理,,XE3E6F6,,湖北汽车工业学院,DFB9,工业设计（智能座舱设计）（不招色盲色弱）（外语语种要求：不限）,智能座舱设计; 不招色盲色弱; 外语语种要求：不限,,,,,476,71524,,,,,,476,71524,,,,,,,,,本科,,,,,
8000090,贵州,本科批,物理,,XE3E6F6,,湖北汽车工业学院,274D,工业设计（智能装备设计）（不招色盲色弱）（外语语种要求：不限）,智能装备设计; 不招色盲色弱; 外语语种要求：不限,,,,,479,68904,,,,,,479,68904,,,,,,,,,本科,,,,,
8000091,贵州,本科批,物理,,XE3E6F6,,湖北汽车工业学院,72FB,材料科学与工程（新能源汽车材料）（不招色盲色弱）（外语语种要求：不限）,新能源汽车材料; 不招色盲色弱; 外语语种要求：不限,,,,,480,67896,,,,,,480,67896,,,,,,,,,本科,,,,,
8000092,贵州,本科批,物理,,XE3E6F6,,湖北汽车工业学院,46D4,材料物理（车载芯片）（不招色盲色弱）（外语语种要求：不限）,车载芯片; 不招色盲色弱; 外语语种要求：不限,,,,,480,68350,,,,,,480,68350,,,,,,,,,本科,,,,,
8000093,贵州,本科批,物理,,XE3E6F6,,湖北汽车工业学院,744F,增材制造工程（汽车零部件轻量化设计及3D打印成型）（不招色盲色弱）（外语语种要求：不限）,汽车零部件轻量化设计及3D打印成型; 不招色盲色弱; 外语语种要求：不限,,,,,480,67959,,,,,,480,67959,,,,,,,,,本科,,,,,
8000094,贵州,本科批,物理,,XE3E6F6,,湖北汽车工业学院,60FD,信息管理与信息系统（汽车数智化）（外语语种要求：不限）,汽车数智化; 外语语种要求：不限,,,,,482,66273,,,,,,482,66273,,,,,,,,,本科,,,,,
8000095,贵州,本科批,物理,,XE3E6F6,,湖北汽车工业学院,F99F,材料成型及控制工程（数字化设计与智能成型）（不招色盲色弱）（外语语种要求：不限）,数字化设计与智能成型; 不招色盲色弱; 外语语种要求：不限,,,,,483,65529,,,,,,483,65529,,,,,,,,,本科,,,,,
