id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000730,海南,本科批,物理,,XE3E6F6,专业组01,湖北汽车工业学院,CA0F,旅游管理,,,,,,564,19597,,,,,,564,19597,,,,,,,,,本科,,,,,
8000731,海南,本科批,物理,,XE3E6F6,专业组01,湖北汽车工业学院,FB18,财务管理,,,,,,571,17978,,,,,,571,17978,,,,,,,,,本科,,,,,
8001286,海南,本科批,物理,,X4B1FD0,专业组07,井冈山大学,4ECE,土木工程,,,,,,480,42524,,,,,,480,42524,,,,,,,,,本科,,,,,
8001287,海南,本科批,物理,,X4B1FD0,专业组07,井冈山大学,A39E,预防医学,,,,,,481,42257,,,,,,481,42257,,,,,,,,,本科,,,,,
8001288,海南,本科批,物理,,X4B1FD0,专业组07,井冈山大学,10A0,药学,,,,,,492,39297,,,,,,492,39297,,,,,,,,,本科,,,,,
8001289,海南,本科批,物理,,X4B1FD0,专业组07,井冈山大学,97D0,临床医学,,,,,,493,39015,,,,,,493,39015,,,,,,,,,本科,,,,,
8001290,海南,本科批,物理,,X4B1FD0,专业组07,井冈山大学,5DA6,口腔医学,,,,,,532,28031,,,,,,532,28031,,,,,,,,,本科,,,,,
8001291,海南,本科批,物理,,X4B1FD0,专业组07,井冈山大学,B9A5,计算机科学与技术,,,,,,542,25271,,,,,,542,25271,,,,,,,,,本科,,,,,
8001292,海南,本科批,物理,,X4B1FD0,专业组06,井冈山大学,4BF3,护理学,,,,,,585,14905,,,,,,585,14905,,,,,,,,,本科,,,,,
8001293,海南,本科批,物理,,X4B1FD0,专业组07,井冈山大学,3C38,软件工程,,,,,,595,12898,,,,,,595,12898,,,,,,,,,本科,,,,,
8001294,海南,本科批,物理,,X4B1FD0,专业组05,井冈山大学,2242,广播电视编导,,,,,,597,12551,,,,,,597,12551,,,,,,,,,本科,,,,,
8001295,海南,本科批,物理,,X4B1FD0,专业组05,井冈山大学,4852,应用心理学,,,,,,598,12377,,,,,,598,12377,,,,,,,,,本科,,,,,
8001296,海南,本科批,物理,,X4B1FD0,专业组05,井冈山大学,CA0F,旅游管理,,,,,,598,12377,,,,,,598,12377,,,,,,,,,本科,,,,,
8001297,海南,本科批,物理,,X4B1FD0,专业组05,井冈山大学,E6CB,社会工作,,,,,,599,12200,,,,,,599,12200,,,,,,,,,本科,,,,,
8001298,海南,本科批,物理,,X4B1FD0,专业组05,井冈山大学,4145,英语,,,,,,602,11656,,,,,,602,11656,,,,,,,,,本科,,,,,
8001299,海南,本科批,物理,,X4B1FD0,专业组05,井冈山大学,3B22,小学教育（师范类专业）,师范类专业,,,,,608,10596,,,,,,608,10596,,,,,,,,,本科,,,,,
8001300,海南,本科批,物理,,X4B1FD0,专业组05,井冈山大学,A615,汉语国际教育,,,,,,610,10279,,,,,,610,10279,,,,,,,,,本科,,,,,
8001301,海南,本科批,物理,,X4B1FD0,专业组05,井冈山大学,6343,汉语言文学（师范类专业）,师范类专业,,,,,613,9795,,,,,,613,9795,,,,,,,,,本科,,,,,
8001302,海南,本科批,物理,,X4B1FD0,专业组08,井冈山大学,B0AD,思想政治教育（师范类专业）,师范类专业,,,,,614,9643,,,,,,614,9643,,,,,,,,,本科,,,,,
8001700,海南,本科批,物理,,XDA307D,专业组04,中原工学院,E522,非织造材料与工程,,,,,,476,43585,,,,,,476,43585,,,,,,,,,本科,,,,,
8001701,海南,本科批,物理,,XDA307D,专业组04,中原工学院,9784,工业设计（入校后需加试徒手画）,入校后需加试徒手画,,,,,476,43585,,,,,,476,43585,,,,,,,,,本科,,,,,
8001702,海南,本科批,物理,,XDA307D,专业组04,中原工学院,52FD,应用化学,,,,,,477,43308,,,,,,477,43308,,,,,,,,,本科,,,,,
8001703,海南,本科批,物理,,XDA307D,专业组04,中原工学院,6A3A,建筑环境与能源应用工程,,,,,,477,43308,,,,,,477,43308,,,,,,,,,本科,,,,,
8001704,海南,本科批,物理,,XDA307D,专业组03,中原工学院,57D1,服装设计与工程,,,,,,561,20364,,,,,,561,20364,,,,,,,,,本科,,,,,
8001705,海南,本科批,物理,,XDA307D,专业组01,中原工学院,25DE,国际经济与贸易,,,,,,563,19861,,,,,,563,19861,,,,,,,,,本科,,,,,
8001706,海南,本科批,物理,,XDA307D,专业组02,中原工学院,371D,工程造价,,,,,,571,17978,,,,,,571,17978,,,,,,,,,本科,,,,,
8001849,海南,本科批,物理,,XBE8F26,专业组01,贵州师范学院,CA0F,旅游管理,,,,,,563,19861,,,,,,563,19861,,,,,,,,,本科,,,,,
8001850,海南,本科批,物理,,XBE8F26,专业组02,贵州师范学院,BD59,金融科技,,,,,,564,19597,,,,,,564,19597,,,,,,,,,本科,,,,,
8002851,海南,本科批,物理,,X8645C5,专业组05,南阳师范学院,C325,农学,,,,,,524,30268,,,,,,524,30268,,,,,,,,,本科,,,,,
8002852,海南,本科批,物理,,X8645C5,专业组05,南阳师范学院,4C65,自动化,,,,,,525,29966,,,,,,525,29966,,,,,,,,,本科,,,,,
8002853,海南,本科批,物理,,X8645C5,专业组05,南阳师范学院,512E,应用化学（感光材料与应用方向）,感光材料与应用方向,,,,,528,29098,,,,,,528,29098,,,,,,,,,本科,,,,,
8002854,海南,本科批,物理,,X8645C5,专业组05,南阳师范学院,E9A7,环境科学与工程,,,,,,528,29098,,,,,,528,29098,,,,,,,,,本科,,,,,
8002855,海南,本科批,物理,,X8645C5,专业组05,南阳师范学院,3298,智能感知工程,,,,,,534,27473,,,,,,534,27473,,,,,,,,,本科,,,,,
8002856,海南,本科批,物理,,X8645C5,专业组04,南阳师范学院,1C92,数字经济,,,,,,564,19597,,,,,,564,19597,,,,,,,,,本科,,,,,
8002857,海南,本科批,物理,,X8645C5,专业组03,南阳师范学院,7E07,历史学（（师范类专业）,（师范类专业,,,,,583,15317,,,,,,583,15317,,,,,,,,,本科,,,,,
8002858,海南,本科批,物理,,X8645C5,专业组06,南阳师范学院,FCAF,地理科学类（包含专业：地理科学、地理信息科学；地理科学）,包含专业：地理科学、地理信息科学；地理科学,,,,,583,15317,,,,,,583,15317,,,,,,,,,本科,,,,,
8005247,海南,本科批,物理,,XFF89EF,专业组02,长江师范学院,C5CB,园艺,,,,,,525,29966,,,,,,525,29966,,,,,,,,,本科,,,,,
8005248,海南,本科批,物理,,XFF89EF,专业组02,长江师范学院,BBBB,环境科学与工程类（包含专业：环境科学、环境生态工程）,包含专业：环境科学、环境生态工程,,,,,528,29098,,,,,,528,29098,,,,,,,,,本科,,,,,
