id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000519,黑龙江,本科批,物理,,XE3E6F6,专业组001,湖北汽车工业学院,862D,计算机科学与技术（大数据技术）,大数据技术,,,,,480,41217,,,,,,480,41217,,,,,,,,,本科,,,,,
8000520,黑龙江,本科批,物理,,XE3E6F6,专业组001,湖北汽车工业学院,F11A,机器人工程,,,,,,481,40839,,,,,,481,40839,,,,,,,,,本科,,,,,
8000521,黑龙江,本科批,物理,,XE3E6F6,专业组001,湖北汽车工业学院,52B5,材料物理（车载芯片）,车载芯片,,,,,482,40492,,,,,,482,40492,,,,,,,,,本科,,,,,
8000522,黑龙江,本科批,物理,,XE3E6F6,专业组001,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,485,39401,,,,,,485,39401,,,,,,,,,本科,,,,,
8000523,黑龙江,本科批,历史,,XE3E6F6,专业组001,湖北汽车工业学院,862D,计算机科学与技术（大数据技术）,大数据技术,,,,,480,41217,,,,,,480,41217,,,,,,,,,本科,,,,,
8000524,黑龙江,本科批,历史,,XE3E6F6,专业组001,湖北汽车工业学院,F11A,机器人工程,,,,,,481,40839,,,,,,481,40839,,,,,,,,,本科,,,,,
8000525,黑龙江,本科批,历史,,XE3E6F6,专业组001,湖北汽车工业学院,52B5,材料物理（车载芯片）,车载芯片,,,,,482,40492,,,,,,482,40492,,,,,,,,,本科,,,,,
8000526,黑龙江,本科批,历史,,XE3E6F6,专业组001,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,485,39401,,,,,,485,39401,,,,,,,,,本科,,,,,
8000957,黑龙江,本科批,物理,,X4B1FD0,专业组001,井冈山大学,4ECE,土木工程,,,,,,425,61409,,,,,,425,61409,,,,,,,,,本科,,,,,
8000958,黑龙江,本科批,物理,,X4B1FD0,专业组001,井冈山大学,FEF6,材料成型及控制工程,,,,,,436,57347,,,,,,436,57347,,,,,,,,,本科,,,,,
