id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000013,河南,本科批,物理,,X7D745A,,郑州大学,B9A5,计算机科学与技术,,,,150,,590,28000,,,,,,590,28000,150,,,,,,,,本科,,,,,
8000014,河南,本科批,物理,,X7D745A,,郑州大学,97D0,临床医学,,,,200,,600,22000,,,,,,600,22000,200,,,,,,,,本科,,,,,
8000015,河南,本科批,物理,,X7D745A,,郑州大学,A5B7,电气工程及其自动化,,,,120,,585,31000,,,,,,585,31000,120,,,,,,,,本科,,,,,
8000016,河南,本科批,物理,,X7D745A,,郑州大学,4ECE,土木工程,,,,180,,572,42000,,,,,,572,42000,180,,,,,,,,本科,,,,,
8000609,河南,本科批,历史,,XE3E6F6,,湖北汽车工业学院,FBFE,物流管理,,,,,,494,42359,,,,,,494,42359,,,,,,,,,本科,,,,,
8000610,河南,本科批,历史,,XE3E6F6,,湖北汽车工业学院,CA0F,旅游管理,,,,,,496,41047,,,,,,496,41047,,,,,,,,,本科,,,,,
8000611,河南,本科批,历史,,XE3E6F6,,湖北汽车工业学院,879E,信息资源管理,,,,,,497,40367,,,,,,497,40367,,,,,,,,,本科,,,,,
8000612,河南,本科批,历史,,XE3E6F6,,湖北汽车工业学院,FB18,财务管理,,,,,,500,38365,,,,,,500,38365,,,,,,,,,本科,,,,,
8000613,河南,本科批,历史,,XE3E6F6,,湖北汽车工业学院,927B,法学,,,,,,504,35743,,,,,,504,35743,,,,,,,,,本科,,,,,
8000614,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,62BF,大数据管理与应用,,,,,,513,126985,,,,,,513,126985,,,,,,,,,本科,,,,,
8000615,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,C46D,工业工程（汽本产业）,汽本产业,,,,,513,126985,,,,,,513,126985,,,,,,,,,本科,,,,,
8000616,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,85F0,光电信息科学与工程（机器视党）,机器视党,,,,,514,125279,,,,,,514,125279,,,,,,,,,本科,,,,,
8000617,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,9E31,高分子材料与工程（功能高分子材料）（不招色育、色弱者）,功能高分子材料; 不招色育、色弱者,,,,,514,125279,,,,,,514,125279,,,,,,,,,本科,,,,,
8000618,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,5EB0,功能材料（光电信息与传感材料）（不掘色育、色弱者）,光电信息与传感材料; 不掘色育、色弱者,,,,,514,125279,,,,,,514,125279,,,,,,,,,本科,,,,,
8000619,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,746B,材料物理（车载芯片）（不招色育、色弱者）,车载芯片; 不招色育、色弱者,,,,,514,125279,,,,,,514,125279,,,,,,,,,本科,,,,,
8000620,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,DE60,智能科学与技术（智能汽车）,智能汽车,,,,,514,125279,,,,,,514,125279,,,,,,,,,本科,,,,,
8000621,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,1D6A,新能源材料与器件（不招色育、色弱者）,不招色育、色弱者,,,,,515,123701,,,,,,515,123701,,,,,,,,,本科,,,,,
8000622,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,A5D2,测控技术与仪器,,,,,,515,123701,,,,,,515,123701,,,,,,,,,本科,,,,,
8000623,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,6EAA,数学与应用数学（金融大数据）,金融大数据,,,,,516,122158,,,,,,516,122158,,,,,,,,,本科,,,,,
8000624,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,F0A9,汽车服务工程（智能诊断）,智能诊断,,,,,516,122158,,,,,,516,122158,,,,,,,,,本科,,,,,
8000625,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,862D,计算机科学与技术（大数据技术）,大数据技术,,,,,516,122158,,,,,,516,122158,,,,,,,,,本科,,,,,
8000626,河南,本科批,物理,,XE3E6F6,,湖北汽车工业学院,92DB,知识产权,,,,,,518,118997,,,,,,518,118997,,,,,,,,,本科,,,,,
