id,生源地,批次,科类,选科限制,院校代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平,理科,工科,文科（非经管法）,经管法,医科,设计与艺术类,语言类
8064481,湖北,本科批,物理,不限,A00304,清华大学,08,社会科学试验班,(至善书院；经济学、社会学),,5000,1.0,,,,692.0,71.0,693.0,85.0,1.0,,,1.0,676,101,1.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,1.0,,,,
8064482,湖北,本科批,物理,不限,A00304,清华大学,09,理科试验班类,(新雅书院；工程管理(等全校各专业)),,5000,1.0,,,,692.0,71.0,693.0,85.0,1.0,,,1.0,678,78,1.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1.0,,,,,,
8064483,湖北,本科批,物理,不限,A00304,清华大学,10,理科试验班类,(经济、金融与管理信息管理与信息系统、金融学(经济金融国际班)),,5000,2.0,,,,692.0,71.0,693.0,85.0,2.0,,,2.0,679,72,2.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1.0,,,,,,
8064484,湖北,本科批,物理,不限,A00304,清华大学,11,法学类,(法学、法学(国际班)),,5000,1.0,,,,692.0,71.0,693.0,85.0,1.0,,,1.0,678,78,1.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,,1.0,,,
8064485,湖北,本科批,物理,不限,A00304,清华大学,12,建筑类,(建筑学、城乡规划、风景园林)(学制：五年),,5000,3.0,,,,692.0,71.0,693.0,85.0,3.0,,,3.0,680,65,3.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064447,湖北,本科批,物理,化,A00105,北京大学,27,工科试验班类,(理论与应用力学、工程力学、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程),,5000,2.0,,,,691.0,83.0,693.0,85.0,2.0,,,2.0,678,78,1.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064448,湖北,本科批,物理,化,A00105,北京大学,28,理科试验班类,(经济；数学类),,5000,2.0,新增,,,691.0,83.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1.0,,,,,,
8064449,湖北,本科批,物理,化,A00105,北京大学,29,理科试验班类,(元培；数学类),,5300,1.0,新增,,,691.0,83.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1.0,,,,,,
8064450,湖北,本科批,物理,化,A00105,北京大学,30,理科试验班类,(法学院；数学类),,5000,2.0,新增,,,691.0,83.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1.0,,,,,,
8064451,湖北,本科批,物理,化,A00105,北京大学,31,理科试验班类,(光华；数学类),,5000,1.0,新增,,,691.0,83.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1.0,,,,,,
