id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000674,湖南,本科批,物理,,XE3E6F6,专业组205,湖北汽车工业学院,D34D,车辆工程（中外合作办学）（中英合作）（教学外语为英语；中外合作办学或国际项目）,中外合作办学; 中英合作; 教学外语为英语；中外合作办学或国际项目,,,,,492,98063,,,,,,492,98063,,,,,,,,,本科,,,,,
8000675,湖南,本科批,物理,,XE3E6F6,专业组104,湖北汽车工业学院,7B78,材料成型及控制工程（数字化设计与智能成型）（不招色盲、色弱者）,数字化设计与智能成型; 不招色盲、色弱者,,,,,503,85181,,,,,,503,85181,,,,,,,,,本科,,,,,
8000676,湖南,本科批,物理,,XE3E6F6,专业组104,湖北汽车工业学院,862D,计算机科学与技术（大数据技术）,大数据技术,,,,,504,84095,,,,,,504,84095,,,,,,,,,本科,,,,,
8000677,湖南,本科批,物理,,XE3E6F6,专业组104,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,505,82972,,,,,,505,82972,,,,,,,,,本科,,,,,
8000678,湖南,本科批,物理,,XE3E6F6,专业组103,湖北汽车工业学院,0E5F,工业工程（汽车产业）,汽车产业,,,,,509,78569,,,,,,509,78569,,,,,,,,,本科,,,,,
8000679,湖南,本科批,物理,,XE3E6F6,专业组104,湖北汽车工业学院,26A7,车辆工程,,,,,,509,78569,,,,,,509,78569,,,,,,,,,本科,,,,,
8000680,湖南,本科批,历史,,XE3E6F6,专业组205,湖北汽车工业学院,D34D,车辆工程（中外合作办学）（中英合作）（教学外语为英语；中外合作办学或国际项目）,中外合作办学; 中英合作; 教学外语为英语；中外合作办学或国际项目,,,,,492,98063,,,,,,492,98063,,,,,,,,,本科,,,,,
8000681,湖南,本科批,历史,,XE3E6F6,专业组104,湖北汽车工业学院,7B78,材料成型及控制工程（数字化设计与智能成型）（不招色盲、色弱者）,数字化设计与智能成型; 不招色盲、色弱者,,,,,503,85181,,,,,,503,85181,,,,,,,,,本科,,,,,
8000682,湖南,本科批,历史,,XE3E6F6,专业组104,湖北汽车工业学院,862D,计算机科学与技术（大数据技术）,大数据技术,,,,,504,84095,,,,,,504,84095,,,,,,,,,本科,,,,,
8000683,湖南,本科批,历史,,XE3E6F6,专业组104,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,505,82972,,,,,,505,82972,,,,,,,,,本科,,,,,
8000684,湖南,本科批,历史,,XE3E6F6,专业组103,湖北汽车工业学院,0E5F,工业工程（汽车产业）,汽车产业,,,,,509,78569,,,,,,509,78569,,,,,,,,,本科,,,,,
8000685,湖南,本科批,历史,,XE3E6F6,专业组104,湖北汽车工业学院,26A7,车辆工程,,,,,,509,78569,,,,,,509,78569,,,,,,,,,本科,,,,,
8001202,湖南,本科批,物理,,X4B1FD0,专业组110,井冈山大学,0C82,物理学（师范）,师范,,,,,458,142687,,,,,,458,142687,,,,,,,,,本科,,,,,
8001203,湖南,本科批,物理,,X4B1FD0,专业组Y09,井冈山大学,3A95,广播电视编导（不组织专业考试的艺术专业）,不组织专业考试的艺术专业,,,,,468,129075,,,,,,468,129075,,,,,,,,,本科,,,,,
8001204,湖南,本科批,物理,,X4B1FD0,专业组110,井冈山大学,FEF6,材料成型及控制工程,,,,,,496,93327,,,,,,496,93327,,,,,,,,,本科,,,,,
8001205,湖南,本科批,物理,,X4B1FD0,专业组110,井冈山大学,A39E,预防医学,,,,,,496,93327,,,,,,496,93327,,,,,,,,,本科,,,,,
