id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000049,吉林,本科批,物理,,XE3E6F6,专业组001,湖北汽车工业学院,862D,计算机科学与技术（大数据技术）,大数据技术,,,,,514,22630,,,,,,514,22630,,,,,,,,,本科,,,,,
8000050,吉林,本科批,物理,,XE3E6F6,专业组001,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,515,22372,,,,,,515,22372,,,,,,,,,本科,,,,,
8000051,吉林,本科批,物理,,XE3E6F6,专业组001,湖北汽车工业学院,DE2E,电子信息工程（汽车电子信息、湖北省产业计划）,汽车电子信息、湖北省产业计划,,,,,519,21430,,,,,,519,21430,,,,,,,,,本科,,,,,
8000052,吉林,本科批,物理,,XE3E6F6,专业组001,湖北汽车工业学院,6F1E,智能车辆工程（智能驾驶）,智能驾驶,,,,,520,21196,,,,,,520,21196,,,,,,,,,本科,,,,,
8000053,吉林,本科批,历史,,XE3E6F6,专业组001,湖北汽车工业学院,862D,计算机科学与技术（大数据技术）,大数据技术,,,,,514,22630,,,,,,514,22630,,,,,,,,,本科,,,,,
8000054,吉林,本科批,历史,,XE3E6F6,专业组001,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,515,22372,,,,,,515,22372,,,,,,,,,本科,,,,,
8000055,吉林,本科批,历史,,XE3E6F6,专业组001,湖北汽车工业学院,DE2E,电子信息工程（汽车电子信息、湖北省产业计划）,汽车电子信息、湖北省产业计划,,,,,519,21430,,,,,,519,21430,,,,,,,,,本科,,,,,
8000056,吉林,本科批,历史,,XE3E6F6,专业组001,湖北汽车工业学院,6F1E,智能车辆工程（智能驾驶）,智能驾驶,,,,,520,21196,,,,,,520,21196,,,,,,,,,本科,,,,,
8000218,吉林,本科批,物理,,X4B1FD0,专业组004,井冈山大学,AC79,环境工程（不招色盲色弱）,不招色盲色弱,,,,,460,37576,,,,,,460,37576,,,,,,,,,本科,,,,,
8000219,吉林,本科批,物理,,X4B1FD0,专业组004,井冈山大学,FEF6,材料成型及控制工程,,,,,,462,36973,,,,,,462,36973,,,,,,,,,本科,,,,,
