id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000045,辽宁,本科批,物理,,XE3E6F6,,湖北汽车工业学院,B8FD,新能源材料与器件（不招收色盲色弱）,不招收色盲色弱,,,,,542,36421,,,,,,542,36421,,,,,,,,,本科,,,,,
8000046,辽宁,本科批,物理,,XE3E6F6,,湖北汽车工业学院,26A7,车辆工程,,,,,,549,33193,,,,,,549,33193,,,,,,,,,本科,,,,,
8000047,辽宁,本科批,历史,,XE3E6F6,,湖北汽车工业学院,B8FD,新能源材料与器件（不招收色盲色弱）,不招收色盲色弱,,,,,542,36421,,,,,,542,36421,,,,,,,,,本科,,,,,
8000048,辽宁,本科批,历史,,XE3E6F6,,湖北汽车工业学院,26A7,车辆工程,,,,,,549,33193,,,,,,549,33193,,,,,,,,,本科,,,,,
8000202,辽宁,本科批,物理,,X4B1FD0,,井冈山大学,4ECE,土木工程,,,,,,464,74699,,,,,,464,74699,,,,,,,,,本科,,,,,
8000203,辽宁,本科批,物理,,X4B1FD0,,井冈山大学,A2A7,材料化学（不招色盲色弱）,不招色盲色弱,,,,,473,70054,,,,,,473,70054,,,,,,,,,本科,,,,,
8000204,辽宁,本科批,物理,,X4B1FD0,,井冈山大学,FEF6,材料成型及控制工程,,,,,,479,67042,,,,,,479,67042,,,,,,,,,本科,,,,,
8000205,辽宁,本科批,物理,,X4B1FD0,,井冈山大学,7932,电子信息科学与技术,,,,,,491,61050,,,,,,491,61050,,,,,,,,,本科,,,,,
8000206,辽宁,本科批,物理,,X4B1FD0,,井冈山大学,78FF,机械设计制造及其自动化,,,,,,493,60034,,,,,,493,60034,,,,,,,,,本科,,,,,
8000207,辽宁,本科批,物理,,X4B1FD0,,井冈山大学,4718,数据科学与大数据技术,,,,,,496,58536,,,,,,496,58536,,,,,,,,,本科,,,,,
8000208,辽宁,本科批,物理,,X4B1FD0,,井冈山大学,33FF,计算机科学与技术（不能准确在显示器上识别红、黄、绿、兰、紫各颜色中任何一种颜色的数码、字母者不能录取到计算机科学与技术等专业）,不能准确在显示器上识别红、黄、绿、兰、紫各颜色中任何一种颜色的数码、字母者不能录取到计算机科学与技术等专业,,,,,498,57563,,,,,,498,57563,,,,,,,,,本科,,,,,
8000209,辽宁,本科批,物理,,X4B1FD0,,井冈山大学,927B,法学,,,,,,514,49664,,,,,,514,49664,,,,,,,,,本科,,,,,
8000210,辽宁,本科批,历史,,X4B1FD0,,井冈山大学,4ECE,土木工程,,,,,,464,74699,,,,,,464,74699,,,,,,,,,本科,,,,,
8000211,辽宁,本科批,历史,,X4B1FD0,,井冈山大学,A2A7,材料化学（不招色盲色弱）,不招色盲色弱,,,,,473,70054,,,,,,473,70054,,,,,,,,,本科,,,,,
8000212,辽宁,本科批,历史,,X4B1FD0,,井冈山大学,FEF6,材料成型及控制工程,,,,,,479,67042,,,,,,479,67042,,,,,,,,,本科,,,,,
