id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000041,内蒙古,本科批,历史,,XE3E6F6,专业组001,湖北汽车工业学院,7EBB,数据科学与大数据技术（外语语种：不限）,外语语种：不限,,,,,503,28901,,,,,,503,28901,,,,,,,,,本科,,,,,
8000042,内蒙古,本科批,历史,,XE3E6F6,专业组001,湖北汽车工业学院,C5FA,机械设计制造及其自动化（外语语种：不限）,外语语种：不限,,,,,504,28645,,,,,,504,28645,,,,,,,,,本科,,,,,
8000043,内蒙古,本科批,物理,,XE3E6F6,专业组001,湖北汽车工业学院,7EBB,数据科学与大数据技术（外语语种：不限）,外语语种：不限,,,,,503,28901,,,,,,503,28901,,,,,,,,,本科,,,,,
8000044,内蒙古,本科批,物理,,XE3E6F6,专业组001,湖北汽车工业学院,C5FA,机械设计制造及其自动化（外语语种：不限）,外语语种：不限,,,,,504,28645,,,,,,504,28645,,,,,,,,,本科,,,,,
8000166,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,BF1C,化学（不招色盲色弱）（校本部）（外语语种：不限）,不招色盲色弱; 校本部; 外语语种：不限,,,,,423,53969,,,,,,423,53969,,,,,,,,,本科,,,,,
8000167,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,7ED2,电子信息科学与技术（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,423,53969,,,,,,423,53969,,,,,,,,,本科,,,,,
8000168,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,AA49,数学与应用数学（师范类）（校本部）（外语语种：不限）,师范类; 校本部; 外语语种：不限,,,,,426,52987,,,,,,426,52987,,,,,,,,,本科,,,,,
8000169,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,9853,土木工程（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,428,52332,,,,,,428,52332,,,,,,,,,本科,,,,,
8000170,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,6073,生物科学（不招色盲色弱）（校本部）（外语语种：不限）,不招色盲色弱; 校本部; 外语语种：不限,,,,,428,52332,,,,,,428,52332,,,,,,,,,本科,,,,,
8000171,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,C803,物理学（师范类）（校本部）（外语语种：不限）,师范类; 校本部; 外语语种：不限,,,,,429,51996,,,,,,429,51996,,,,,,,,,本科,,,,,
8000172,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,1F13,生物材料（不招色盲色弱）（校本部）（外语语种：不限）,不招色盲色弱; 校本部; 外语语种：不限,,,,,435,49999,,,,,,435,49999,,,,,,,,,本科,,,,,
8000173,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,FA9B,数据科学与大数据技术（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,435,49999,,,,,,435,49999,,,,,,,,,本科,,,,,
8000174,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,DBBD,材料化学（不招色盲色弱）（校本部）（外语语种：不限）,不招色盲色弱; 校本部; 外语语种：不限,,,,,435,49999,,,,,,435,49999,,,,,,,,,本科,,,,,
8000175,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,E000,化学工程与工艺（不招色盲色弱）（校本部）（外语语种：不限）,不招色盲色弱; 校本部; 外语语种：不限,,,,,436,49690,,,,,,436,49690,,,,,,,,,本科,,,,,
8000176,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,C5F6,康复治疗学（不招色盲色弱）（校本部）（外语语种：不限）,不招色盲色弱; 校本部; 外语语种：不限,,,,,437,49381,,,,,,437,49381,,,,,,,,,本科,,,,,
8000177,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,1863,软件工程（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,437,49381,,,,,,437,49381,,,,,,,,,本科,,,,,
8000178,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,E2AC,材料成型及控制工程（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,439,48647,,,,,,439,48647,,,,,,,,,本科,,,,,
8000179,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,CA01,中医学（不招色盲色弱）（校本部）（外语语种：不限）,不招色盲色弱; 校本部; 外语语种：不限,,,,,449,45369,,,,,,449,45369,,,,,,,,,本科,,,,,
8000180,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,1667,机械设计制造及其自动化（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,454,43816,,,,,,454,43816,,,,,,,,,本科,,,,,
8000181,内蒙古,本科批,历史,,X4B1FD0,专业组003,井冈山大学,191F,行政管理（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,455,43491,,,,,,455,43491,,,,,,,,,本科,,,,,
8000182,内蒙古,本科批,历史,,X4B1FD0,专业组003,井冈山大学,5B61,经济与金融（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,463,40959,,,,,,463,40959,,,,,,,,,本科,,,,,
8000183,内蒙古,本科批,历史,,X4B1FD0,专业组002,井冈山大学,EE2C,电气工程及其自动化（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,477,36606,,,,,,477,36606,,,,,,,,,本科,,,,,
8000184,内蒙古,本科批,物理,,X4B1FD0,专业组002,井冈山大学,BF1C,化学（不招色盲色弱）（校本部）（外语语种：不限）,不招色盲色弱; 校本部; 外语语种：不限,,,,,423,53969,,,,,,423,53969,,,,,,,,,本科,,,,,
8000185,内蒙古,本科批,物理,,X4B1FD0,专业组002,井冈山大学,7ED2,电子信息科学与技术（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,423,53969,,,,,,423,53969,,,,,,,,,本科,,,,,
8000186,内蒙古,本科批,物理,,X4B1FD0,专业组002,井冈山大学,AA49,数学与应用数学（师范类）（校本部）（外语语种：不限）,师范类; 校本部; 外语语种：不限,,,,,426,52987,,,,,,426,52987,,,,,,,,,本科,,,,,
8000187,内蒙古,本科批,物理,,X4B1FD0,专业组002,井冈山大学,9853,土木工程（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,428,52332,,,,,,428,52332,,,,,,,,,本科,,,,,
8000188,内蒙古,本科批,物理,,X4B1FD0,专业组002,井冈山大学,6073,生物科学（不招色盲色弱）（校本部）（外语语种：不限）,不招色盲色弱; 校本部; 外语语种：不限,,,,,428,52332,,,,,,428,52332,,,,,,,,,本科,,,,,
8000189,内蒙古,本科批,物理,,X4B1FD0,专业组002,井冈山大学,C803,物理学（师范类）（校本部）（外语语种：不限）,师范类; 校本部; 外语语种：不限,,,,,429,51996,,,,,,429,51996,,,,,,,,,本科,,,,,
8000190,内蒙古,本科批,物理,,X4B1FD0,专业组002,井冈山大学,1F13,生物材料（不招色盲色弱）（校本部）（外语语种：不限）,不招色盲色弱; 校本部; 外语语种：不限,,,,,435,49999,,,,,,435,49999,,,,,,,,,本科,,,,,
8000191,内蒙古,本科批,物理,,X4B1FD0,专业组002,井冈山大学,FA9B,数据科学与大数据技术（校本部）（外语语种：不限）,校本部; 外语语种：不限,,,,,435,49999,,,,,,435,49999,,,,,,,,,本科,,,,,
8000192,内蒙古,本科批,物理,,X4B1FD0,专业组002,井冈山大学,DBBD,材料化学（不招色盲色弱）（校本部）（外语语种：不限）,不招色盲色弱; 校本部; 外语语种：不限,,,,,435,49999,,,,,,435,49999,,,,,,,,,本科,,,,,
