id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000842,宁夏,本科批,物理,,XE3E6F6,,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,425,15604,,,,,,425,15604,,,,,,,,,本科,,,,,
8001422,宁夏,本科批,物理,,X4B1FD0,,井冈山大学,10A0,药学,,,,,,415,17693,,,,,,415,17693,,,,,,,,,本科,,,,,
8001423,宁夏,本科批,物理,,X4B1FD0,,井冈山大学,03FE,中医学,,,,,,426,15424,,,,,,426,15424,,,,,,,,,本科,,,,,
8001766,宁夏,本科批,历史,,XDA307D,,中原工学院,09EE,市场营销,,,,,,471,5275,,,,,,471,5275,,,,,,,,,本科,,,,,
8001767,宁夏,本科批,历史,,XDA307D,,中原工学院,A7E8,会展经济与管理,,,,,,473,5131,,,,,,473,5131,,,,,,,,,本科,,,,,
8001768,宁夏,本科批,物理,,XDA307D,,中原工学院,371D,工程造价,,,,,,376,26031,,,,,,376,26031,,,,,,,,,本科,,,,,
8001769,宁夏,本科批,物理,,XDA307D,,中原工学院,75BF,纺织工程,,,,,,376,26031,,,,,,376,26031,,,,,,,,,本科,,,,,
8001770,宁夏,本科批,物理,,XDA307D,,中原工学院,5257,工业工程,,,,,,380,25172,,,,,,380,25172,,,,,,,,,本科,,,,,
8001771,宁夏,本科批,物理,,XDA307D,,中原工学院,EAB4,轻化工程,,,,,,390,22976,,,,,,390,22976,,,,,,,,,本科,,,,,
8001772,宁夏,本科批,物理,,XDA307D,,中原工学院,E347,工业设计,,,,,,408,19137,,,,,,408,19137,,,,,,,,,本科,,,,,
8002406,宁夏,本科批,历史,,X7F825D,,衡阳师范学院,8B36,翻译,,,,,,480,4593,,,,,,480,4593,,,,,,,,,本科,,,,,
8002407,宁夏,本科批,历史,,X7F825D,,衡阳师范学院,CA0F,旅游管理,,,,,,480,4593,,,,,,480,4593,,,,,,,,,本科,,,,,
8002408,宁夏,本科批,历史,,X7F825D,,衡阳师范学院,3739,广告学,,,,,,481,4503,,,,,,481,4503,,,,,,,,,本科,,,,,
8002409,宁夏,本科批,历史,,X7F825D,,衡阳师范学院,108F,学前教育,,,,,,482,4429,,,,,,482,4429,,,,,,,,,本科,,,,,
8002410,宁夏,本科批,历史,,X7F825D,,衡阳师范学院,68F4,新闻学,,,,,,484,4295,,,,,,484,4295,,,,,,,,,本科,,,,,
8002411,宁夏,本科批,历史,,X7F825D,,衡阳师范学院,4873,历史学,,,,,,491,3781,,,,,,491,3781,,,,,,,,,本科,,,,,
8002412,宁夏,本科批,历史,,X7F825D,,衡阳师范学院,FD7E,地理科学,,,,,,491,3781,,,,,,491,3781,,,,,,,,,本科,,,,,
8002413,宁夏,本科批,历史,,X7F825D,,衡阳师范学院,D243,汉语言文学,,,,,,495,3504,,,,,,495,3504,,,,,,,,,本科,,,,,
8002414,宁夏,本科批,物理,,X7F825D,,衡阳师范学院,4154,电子商务,,,,,,401,20625,,,,,,401,20625,,,,,,,,,本科,,,,,
8002415,宁夏,本科批,物理,,X7F825D,,衡阳师范学院,BFDA,人文地理与城乡规划,,,,,,402,20405,,,,,,402,20405,,,,,,,,,本科,,,,,
8002416,宁夏,本科批,物理,,X7F825D,,衡阳师范学院,29F4,物联网工程,,,,,,412,18298,,,,,,412,18298,,,,,,,,,本科,,,,,
8002417,宁夏,本科批,物理,,X7F825D,,衡阳师范学院,93E3,电子信息工程,,,,,,414,17904,,,,,,414,17904,,,,,,,,,本科,,,,,
8002418,宁夏,本科批,物理,,X7F825D,,衡阳师范学院,5B8B,高分子材料与工程,,,,,,414,17904,,,,,,414,17904,,,,,,,,,本科,,,,,
8002419,宁夏,本科批,物理,,X7F825D,,衡阳师范学院,3C38,软件工程,,,,,,416,17483,,,,,,416,17483,,,,,,,,,本科,,,,,
8002420,宁夏,本科批,物理,,X7F825D,,衡阳师范学院,548C,信息与计算科学,,,,,,416,17483,,,,,,416,17483,,,,,,,,,本科,,,,,
8002940,宁夏,本科批,历史,,X8645C5,,南阳师范学院,51C8,思想政治教育,,,,,,487,4059,,,,,,487,4059,,,,,,,,,本科,,,,,
8002941,宁夏,本科批,物理,,X8645C5,,南阳师范学院,4ECE,土木工程,,,,,,414,17904,,,,,,414,17904,,,,,,,,,本科,,,,,
8002942,宁夏,本科批,物理,,X8645C5,,南阳师范学院,32F1,水质科学与技术,,,,,,415,17693,,,,,,415,17693,,,,,,,,,本科,,,,,
8002943,宁夏,本科批,物理,,X8645C5,,南阳师范学院,52FD,应用化学,,,,,,416,17483,,,,,,416,17483,,,,,,,,,本科,,,,,
8002944,宁夏,本科批,物理,,X8645C5,,南阳师范学院,A5B7,电气工程及其自动化,,,,,,432,14269,,,,,,432,14269,,,,,,,,,本科,,,,,
8003054,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,D40C,少数民族预科班,,,,,,466,5708,,,,,,466,5708,,,,,,,,,本科,,,,,
8003055,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,28C4,学前教育（专业代码:21）,专业代码:21,,,,,478,4752,,,,,,478,4752,,,,,,,,,本科,,,,,
8003056,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,662E,汉语国际教育（专业代码:24）,专业代码:24,,,,,478,4752,,,,,,478,4752,,,,,,,,,本科,,,,,
8003057,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,BECE,英语（专业代码:25）,专业代码:25,,,,,479,4671,,,,,,479,4671,,,,,,,,,本科,,,,,
8003058,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,5982,历史学（专业代码:26）,专业代码:26,,,,,480,4593,,,,,,480,4593,,,,,,,,,本科,,,,,
8003059,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,A80C,小学教育（专业代码:22）,专业代码:22,,,,,482,4429,,,,,,482,4429,,,,,,,,,本科,,,,,
8003060,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,4536,思想政治教育（专业代码:20）,专业代码:20,,,,,485,4225,,,,,,485,4225,,,,,,,,,本科,,,,,
8003061,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,104B,汉语言文学（专业代码:23）,专业代码:23,,,,,486,4147,,,,,,486,4147,,,,,,,,,本科,,,,,
8003062,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,090D,公共事业管理,,,,,,488,3998,,,,,,488,3998,,,,,,,,,本科,,,,,
8003063,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,8B36,翻译,,,,,,488,3998,,,,,,488,3998,,,,,,,,,本科,,,,,
8003064,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,52B6,秘书学,,,,,,488,3998,,,,,,488,3998,,,,,,,,,本科,,,,,
8003065,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,D0E1,政治学与行政学,,,,,,492,3719,,,,,,492,3719,,,,,,,,,本科,,,,,
8003066,宁夏,本科批,历史,,X6BDCE0,,宁夏师范大学,FD7E,地理科学,,,,,,512,2492,,,,,,512,2492,,,,,,,,,本科,,,,,
8003067,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,D40C,少数民族预科班,,,,,,407,19365,,,,,,407,19365,,,,,,,,,本科,,,,,
8003068,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,45CC,物理学（专业代码:36）,专业代码:36,,,,,417,17270,,,,,,417,17270,,,,,,,,,本科,,,,,
8003069,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,5BB9,教育技术学（专业代码:32）,专业代码:32,,,,,418,17058,,,,,,418,17058,,,,,,,,,本科,,,,,
8003070,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,4AC5,学前教育（专业代码:33）,专业代码:33,,,,,418,17058,,,,,,418,17058,,,,,,,,,本科,,,,,
8003071,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,A81E,数学与应用数学（专业代码:35）,专业代码:35,,,,,419,16846,,,,,,419,16846,,,,,,,,,本科,,,,,
8003072,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,D6ED,化学工程与工艺,,,,,,420,16610,,,,,,420,16610,,,,,,,,,本科,,,,,
8003073,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,8B36,翻译,,,,,,421,16413,,,,,,421,16413,,,,,,,,,本科,,,,,
8003074,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,F068,人工智能,,,,,,421,16413,,,,,,421,16413,,,,,,,,,本科,,,,,
8003075,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,4EA7,新能源材料与器件,,,,,,421,16413,,,,,,421,16413,,,,,,,,,本科,,,,,
8003076,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,3932,小学教育（专业代码:34）,专业代码:34,,,,,422,16199,,,,,,422,16199,,,,,,,,,本科,,,,,
8003077,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,52FD,应用化学,,,,,,422,16199,,,,,,422,16199,,,,,,,,,本科,,,,,
8003078,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,6995,网络工程,,,,,,422,16199,,,,,,422,16199,,,,,,,,,本科,,,,,
8003079,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,4718,数据科学与大数据技术,,,,,,423,15998,,,,,,423,15998,,,,,,,,,本科,,,,,
8003080,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,76B9,统计学,,,,,,425,15604,,,,,,425,15604,,,,,,,,,本科,,,,,
8003081,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,93E3,电子信息工程,,,,,,426,15424,,,,,,426,15424,,,,,,,,,本科,,,,,
8003082,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,FD7E,地理科学,,,,,,428,15065,,,,,,428,15065,,,,,,,,,本科,,,,,
8003083,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,4852,应用心理学,,,,,,428,15065,,,,,,428,15065,,,,,,,,,本科,,,,,
8003084,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,A5B7,电气工程及其自动化,,,,,,429,14886,,,,,,429,14886,,,,,,,,,本科,,,,,
8003085,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,436B,科学教育,,,,,,429,14886,,,,,,429,14886,,,,,,,,,本科,,,,,
8003086,宁夏,本科批,物理,,X6BDCE0,,宁夏师范大学,ECB7,计算机科学与技术（专业代码:28）,专业代码:28,,,,,430,14690,,,,,,430,14690,,,,,,,,,本科,,,,,
8003991,宁夏,本科批,历史,,X336DBD,,四川轻化工大学,2234,劳动与社会保障,,,,,,492,3719,,,,,,492,3719,,,,,,,,,本科,,,,,
8003992,宁夏,本科批,历史,,X336DBD,,四川轻化工大学,CA0F,旅游管理,,,,,,493,3637,,,,,,493,3637,,,,,,,,,本科,,,,,
8003993,宁夏,本科批,历史,,X336DBD,,四川轻化工大学,927B,法学,,,,,,494,3571,,,,,,494,3571,,,,,,,,,本科,,,,,
8003994,宁夏,本科批,历史,,X336DBD,,四川轻化工大学,0929,农村区域发展,,,,,,494,3571,,,,,,494,3571,,,,,,,,,本科,,,,,
8003995,宁夏,本科批,历史,,X336DBD,,四川轻化工大学,D243,汉语言文学,,,,,,495,3504,,,,,,495,3504,,,,,,,,,本科,,,,,
8003996,宁夏,本科批,物理,,X336DBD,,四川轻化工大学,4ECE,土木工程,,,,,,412,18298,,,,,,412,18298,,,,,,,,,本科,,,,,
8003997,宁夏,本科批,物理,,X336DBD,,四川轻化工大学,B5E9,无机非金属材料工程,,,,,,422,16199,,,,,,422,16199,,,,,,,,,本科,,,,,
8003998,宁夏,本科批,物理,,X336DBD,,四川轻化工大学,B5AE,化学,,,,,,423,15998,,,,,,423,15998,,,,,,,,,本科,,,,,
8003999,宁夏,本科批,物理,,X336DBD,,四川轻化工大学,53B9,食品质量与安全,,,,,,424,15793,,,,,,424,15793,,,,,,,,,本科,,,,,
8004000,宁夏,本科批,物理,,X336DBD,,四川轻化工大学,2B47,智能建造,,,,,,425,15604,,,,,,425,15604,,,,,,,,,本科,,,,,
8004001,宁夏,本科批,物理,,X336DBD,,四川轻化工大学,0A76,消防工程,,,,,,432,14269,,,,,,432,14269,,,,,,,,,本科,,,,,
8004002,宁夏,本科批,物理,,X336DBD,,四川轻化工大学,29F4,物联网工程,,,,,,439,12985,,,,,,439,12985,,,,,,,,,本科,,,,,
8004003,宁夏,本科批,物理,,X336DBD,,四川轻化工大学,FFE8,生物医学工程,,,,,,441,12659,,,,,,441,12659,,,,,,,,,本科,,,,,
8004685,宁夏,本科批,物理,,XAEE2F7,,沈阳医学院,10A0,药学,,,,,,433,14069,,,,,,433,14069,,,,,,,,,本科,,,,,
