id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000841,青海,本科批,物理,,XE3E6F6,,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,378,12339,,,,,,378,12339,,,,,,,,,本科,,,,,
8001418,青海,本科批,历史,,X4B1FD0,,井冈山大学,68F4,新闻学,,,,,,417,4250,,,,,,417,4250,,,,,,,,,本科,,,,,
8001419,青海,本科批,物理,,X4B1FD0,,井冈山大学,7932,电子信息科学与技术,,,,,,358,15256,,,,,,358,15256,,,,,,,,,本科,,,,,
8001420,青海,本科批,物理,,X4B1FD0,,井冈山大学,8FA3,化学（师范类）,师范类,,,,,374,12884,,,,,,374,12884,,,,,,,,,本科,,,,,
8001421,青海,本科批,物理,,X4B1FD0,,井冈山大学,10A0,药学,,,,,,382,11763,,,,,,382,11763,,,,,,,,,本科,,,,,
8001761,青海,本科批,物理,,XDA307D,,中原工学院,57D1,服装设计与工程,,,,,,344,17417,,,,,,344,17417,,,,,,,,,本科,,,,,
8001762,青海,本科批,物理,,XDA307D,,中原工学院,371D,工程造价,,,,,,345,17258,,,,,,345,17258,,,,,,,,,本科,,,,,
8001763,青海,本科批,物理,,XDA307D,,中原工学院,F620,安全工程,,,,,,345,17258,,,,,,345,17258,,,,,,,,,本科,,,,,
8001764,青海,本科批,物理,,XDA307D,,中原工学院,9784,工业设计（入校后需加试徒手画）,入校后需加试徒手画,,,,,346,17102,,,,,,346,17102,,,,,,,,,本科,,,,,
8001765,青海,本科批,物理,,XDA307D,,中原工学院,92DB,知识产权,,,,,,349,16623,,,,,,349,16623,,,,,,,,,本科,,,,,
8002403,青海,本科批,物理,,X7F825D,,衡阳师范学院,3C38,软件工程,,,,,,385,11342,,,,,,385,11342,,,,,,,,,本科,,,,,
8002404,青海,本科批,物理,,X7F825D,,衡阳师范学院,B8DA,数学与应用数学（师范类）,师范类,,,,,389,10781,,,,,,389,10781,,,,,,,,,本科,,,,,
8002405,青海,本科批,物理,,X7F825D,,衡阳师范学院,8FA3,化学（师范类）,师范类,,,,,399,9560,,,,,,399,9560,,,,,,,,,本科,,,,,
8002935,青海,本科批,历史,,X8645C5,,南阳师范学院,DBB2,历史学（师范类）,师范类,,,,,439,3039,,,,,,439,3039,,,,,,,,,本科,,,,,
8002936,青海,本科批,历史,,X8645C5,,南阳师范学院,3A0C,地理科学类（包含专业：地理科学、地理信息科学。地理科学专业为师范专业。）,包含专业：地理科学、地理信息科学。地理科学专业为师范专业。,,,,,441,2945,,,,,,441,2945,,,,,,,,,本科,,,,,
8002937,青海,本科批,物理,,X8645C5,,南阳师范学院,52FD,应用化学,,,,,,363,14481,,,,,,363,14481,,,,,,,,,本科,,,,,
8002938,青海,本科批,物理,,X8645C5,,南阳师范学院,0294,物理学（师范类）,师范类,,,,,365,14208,,,,,,365,14208,,,,,,,,,本科,,,,,
