id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000812,陕西,本科批,物理,,XE3E6F6,,湖北汽车工业学院,538B,车辆工程（中外合作办学）（中英合作）（该专业教学外语为英语）,中外合作办学; 中英合作; 该专业教学外语为英语,,,,,463,69697,,,,,,463,69697,,,,,,,,,本科,,,,,
8000813,陕西,本科批,物理,,XE3E6F6,,湖北汽车工业学院,1631,人工智能（智能驾驶）,智能驾驶,,,,,474,61957,,,,,,474,61957,,,,,,,,,本科,,,,,
8000814,陕西,本科批,物理,,XE3E6F6,,湖北汽车工业学院,DE60,智能科学与技术（智能汽车）,智能汽车,,,,,475,61286,,,,,,475,61286,,,,,,,,,本科,,,,,
8000815,陕西,本科批,物理,,XE3E6F6,,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,475,61286,,,,,,475,61286,,,,,,,,,本科,,,,,
8000816,陕西,本科批,物理,,XE3E6F6,,湖北汽车工业学院,26A7,车辆工程,,,,,,476,60653,,,,,,476,60653,,,,,,,,,本科,,,,,
8001378,陕西,本科批,历史,,X4B1FD0,,井冈山大学,2242,广播电视编导,,,,,,476,17866,,,,,,476,17866,,,,,,,,,本科,,,,,
8001379,陕西,本科批,历史,,X4B1FD0,,井冈山大学,2AB4,中国共产党历史,,,,,,477,17555,,,,,,477,17555,,,,,,,,,本科,,,,,
8001380,陕西,本科批,历史,,X4B1FD0,,井冈山大学,927B,法学,,,,,,480,16651,,,,,,480,16651,,,,,,,,,本科,,,,,
8001381,陕西,本科批,物理,,X4B1FD0,,井冈山大学,AC90,行政管理,,,,,,444,83123,,,,,,444,83123,,,,,,,,,本科,,,,,
8001382,陕西,本科批,物理,,X4B1FD0,,井冈山大学,4ECE,土木工程,,,,,,445,82371,,,,,,445,82371,,,,,,,,,本科,,,,,
8001383,陕西,本科批,物理,,X4B1FD0,,井冈山大学,7E23,环境工程,,,,,,446,81647,,,,,,446,81647,,,,,,,,,本科,,,,,
8001384,陕西,本科批,物理,,X4B1FD0,,井冈山大学,D6ED,化学工程与工艺,,,,,,456,74597,,,,,,456,74597,,,,,,,,,本科,,,,,
8001385,陕西,本科批,物理,,X4B1FD0,,井冈山大学,2242,广播电视编导,,,,,,457,73946,,,,,,457,73946,,,,,,,,,本科,,,,,
8001386,陕西,本科批,物理,,X4B1FD0,,井冈山大学,7D22,材料化学,,,,,,459,72563,,,,,,459,72563,,,,,,,,,本科,,,,,
8001387,陕西,本科批,物理,,X4B1FD0,,井冈山大学,0541,生物科学,,,,,,462,70401,,,,,,462,70401,,,,,,,,,本科,,,,,
