id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000000,山东,本科批,物理,,XEDB1D5,,清华大学,B9A5,计算机科学与技术,,,,3,,695,28,,,,,,695,28,3,,,,,,,,本科,,,,,
8000001,山东,本科批,物理,,XEDB1D5,,清华大学,861C,电子信息类,,,,5,,692,42,,,,,,692,42,5,,,,,,,,本科,,,,,
8000002,山东,本科批,物理,,XEDB1D5,,清华大学,0184,自动化类,,,,4,,690,55,,,,,,690,55,4,,,,,,,,本科,,,,,
8000003,山东,本科批,物理,,XEDB1D5,,清华大学,97D0,临床医学,,,,3,,689,68,,,,,,689,68,3,,,,,,,,本科,,,,,
8000004,山东,本科批,物理,,XEDB1D5,,清华大学,43A0,建筑类,,,,2,,689,70,,,,,,689,70,2,,,,,,,,本科,,,,,
8000005,山东,本科批,物理,,X5563B4,,北京大学,5669,数学类,,,,3,,693,38,,,,,,693,38,3,,,,,,,,本科,,,,,
8000006,山东,本科批,物理,,X5563B4,,北京大学,82E6,计算机类,,,,4,,691,48,,,,,,691,48,4,,,,,,,,本科,,,,,
8000007,山东,本科批,物理,,X5563B4,,北京大学,CF29,经济类,,,,5,,689,65,,,,,,689,65,5,,,,,,,,本科,,,,,
8000008,山东,本科批,物理,,X5563B4,,北京大学,927B,法学,,,,3,,688,75,,,,,,688,75,3,,,,,,,,本科,,,,,
8000068,山东,本科批,物理,,XE3E6F6,,湖北汽车工业学院,D078,新能源汽车工程,,,,,,522,134890,,,,,,522,134890,,,,,,,,,本科,,,,,
8000069,山东,本科批,物理,,XE3E6F6,,湖北汽车工业学院,F7D1,人工智能（汽车智能安全）,汽车智能安全,,,,,525,129332,,,,,,525,129332,,,,,,,,,本科,,,,,
8000070,山东,本科批,物理,,XE3E6F6,,湖北汽车工业学院,78FF,机械设计制造及其自动化,,,,,,525,129898,,,,,,525,129898,,,,,,,,,本科,,,,,
8000071,山东,本科批,物理,,XE3E6F6,,湖北汽车工业学院,26A7,车辆工程,,,,,,528,122113,,,,,,528,122113,,,,,,,,,本科,,,,,
8000243,山东,本科批,物理,,X4B1FD0,,井冈山大学,08D3,软件工程（中外合作办学）（与俄罗斯伊热夫斯克国立技术大学合作办学，高收费专业）,中外合作办学; 与俄罗斯伊热夫斯克国立技术大学合作办学，高收费专业,,,,,475,247625,,,,,,475,247625,,,,,,,,,本科,,,,,
8000244,山东,本科批,物理,,X4B1FD0,,井冈山大学,4ECE,土木工程,,,,,,481,233046,,,,,,481,233046,,,,,,,,,本科,,,,,
8000245,山东,本科批,物理,,X4B1FD0,,井冈山大学,2E4A,环境工程（不招色盲、色弱考生）,不招色盲、色弱考生,,,,,481,232012,,,,,,481,232012,,,,,,,,,本科,,,,,
8000246,山东,本科批,物理,,X4B1FD0,,井冈山大学,612D,生物材料（不招色盲、色弱考生）,不招色盲、色弱考生,,,,,483,227342,,,,,,483,227342,,,,,,,,,本科,,,,,
8000247,山东,本科批,物理,,X4B1FD0,,井冈山大学,0CDD,生物科学（不招色盲、色弱考生）,不招色盲、色弱考生,,,,,491,208606,,,,,,491,208606,,,,,,,,,本科,,,,,
8000248,山东,本科批,物理,,X4B1FD0,,井冈山大学,0294,物理学（师范类）,师范类,,,,,493,201900,,,,,,493,201900,,,,,,,,,本科,,,,,
8000249,山东,本科批,物理,,X4B1FD0,,井冈山大学,4E48,化学（不招色盲、色弱考生）,不招色盲、色弱考生,,,,,497,193059,,,,,,497,193059,,,,,,,,,本科,,,,,
8000250,山东,本科批,物理,,X4B1FD0,,井冈山大学,B8DA,数学与应用数学（师范类）,师范类,,,,,504,176698,,,,,,504,176698,,,,,,,,,本科,,,,,
8000251,山东,本科批,物理,,X4B1FD0,,井冈山大学,A9F4,德语,,,,,,510,161415,,,,,,510,161415,,,,,,,,,本科,,,,,
8000252,山东,本科批,物理,,X4B1FD0,,井冈山大学,2242,广播电视编导,,,,,,512,158471,,,,,,512,158471,,,,,,,,,本科,,,,,
8000253,山东,本科批,物理,,X4B1FD0,,井冈山大学,D43F,西班牙语,,,,,,514,153228,,,,,,514,153228,,,,,,,,,本科,,,,,
8000254,山东,本科批,物理,,X4B1FD0,,井冈山大学,1FFE,智慧建筑与建造,,,,,,514,153372,,,,,,514,153372,,,,,,,,,本科,,,,,
8000255,山东,本科批,物理,,X4B1FD0,,井冈山大学,78FF,机械设计制造及其自动化,,,,,,516,148540,,,,,,516,148540,,,,,,,,,本科,,,,,
8000256,山东,本科批,物理,,X4B1FD0,,井冈山大学,671C,日语,,,,,,517,147501,,,,,,517,147501,,,,,,,,,本科,,,,,
8000257,山东,本科批,物理,,X4B1FD0,,井冈山大学,9569,小学教育（师范类）,师范类,,,,,518,143308,,,,,,518,143308,,,,,,,,,本科,,,,,
8000258,山东,本科批,物理,,X4B1FD0,,井冈山大学,E6CB,社会工作,,,,,,520,140706,,,,,,520,140706,,,,,,,,,本科,,,,,
8000259,山东,本科批,物理,,X4B1FD0,,井冈山大学,98EE,计算机科学与技术（不招不能准确在显示器上识别红、黄、绿、兰、紫各颜色中任何一种颜色的数码、字母者）,不招不能准确在显示器上识别红、黄、绿、兰、紫各颜色中任何一种颜色的数码、字母者,,,,,520,138955,,,,,,520,138955,,,,,,,,,本科,,,,,
8000260,山东,本科批,物理,,X4B1FD0,,井冈山大学,AC90,行政管理,,,,,,520,139794,,,,,,520,139794,,,,,,,,,本科,,,,,
8000261,山东,本科批,物理,,X4B1FD0,,井冈山大学,FF89,会计学（中英学分互认）（与英国切斯特大学2+2/3+1双学位联合培养（学生自愿出国，不出国仅获中方学位）；四年均须向中方大学缴纳学费，赴外期间须向外方大学缴纳学费。具体查阅学校官网的招生简章。建议英语语种学生填报）,中英学分互认; 与英国切斯特大学2+2/3+1双学位联合培养（学生自愿出国，不出国仅获中方学位,,,,,522,135757,,,,,,522,135757,,,,,,,,,本科,,,,,
8000262,山东,本科批,物理,,X4B1FD0,,井冈山大学,A615,汉语国际教育,,,,,,526,127925,,,,,,526,127925,,,,,,,,,本科,,,,,
8000371,山东,本科批,物理,,XDA307D,,中原工学院,B177,测控技术与仪器（中外合作办学）,中外合作办学,,,,,466,270578,,,,,,466,270578,,,,,,,,,本科,,,,,
8000372,山东,本科批,物理,,XDA307D,,中原工学院,234C,土木类（土木工程、城市地下空间工程）,土木工程、城市地下空间工程,,,,,471,258670,,,,,,471,258670,,,,,,,,,本科,,,,,
8000373,山东,本科批,物理,,XDA307D,,中原工学院,D3F0,软件工程（中外合作办学）,中外合作办学,,,,,477,241915,,,,,,477,241915,,,,,,,,,本科,,,,,
8000374,山东,本科批,物理,,XDA307D,,中原工学院,4A2C,物流工程,,,,,,480,234664,,,,,,480,234664,,,,,,,,,本科,,,,,
8000375,山东,本科批,物理,,XDA307D,,中原工学院,8091,电气工程及其自动化（中外合作办学）,中外合作办学,,,,,483,228824,,,,,,483,228824,,,,,,,,,本科,,,,,
8000376,山东,本科批,物理,,XDA307D,,中原工学院,8543,材料类（材料科学与工程、高分子材料与工程）,材料科学与工程、高分子材料与工程,,,,,486,219781,,,,,,486,219781,,,,,,,,,本科,,,,,
8000377,山东,本科批,物理,,XDA307D,,中原工学院,25FE,数学与应用数学,,,,,,488,214188,,,,,,488,214188,,,,,,,,,本科,,,,,
8000378,山东,本科批,物理,,XDA307D,,中原工学院,D6ED,化学工程与工艺,,,,,,489,213017,,,,,,489,213017,,,,,,,,,本科,,,,,
8000379,山东,本科批,物理,,XDA307D,,中原工学院,09EE,市场营销,,,,,,509,164449,,,,,,509,164449,,,,,,,,,本科,,,,,
