id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000527,上海,本科批,物理,,XE3E6F6,专业组01,湖北汽车工业学院,26A7,车辆工程,,,,,,441,33999,,,,,,441,33999,,,,,,,,,本科,,,,,
8000965,上海,本科批,物理,,X4B1FD0,专业组02,井冈山大学,4145,英语,,,,,,407,40915,,,,,,407,40915,,,,,,,,,本科,,,,,
8000966,上海,本科批,物理,,X4B1FD0,专业组02,井冈山大学,2242,广播电视编导,,,,,,409,40573,,,,,,409,40573,,,,,,,,,本科,,,,,
8000967,上海,本科批,物理,,X4B1FD0,专业组02,井冈山大学,AFF5,汉语言文学（师范类）,师范类,,,,,411,40210,,,,,,411,40210,,,,,,,,,本科,,,,,
8000968,上海,本科批,物理,,X4B1FD0,专业组01,井冈山大学,0541,生物科学,,,,,,417,39079,,,,,,417,39079,,,,,,,,,本科,,,,,
8000969,上海,本科批,物理,,X4B1FD0,专业组01,井冈山大学,0294,物理学（师范类）,师范类,,,,,421,38266,,,,,,421,38266,,,,,,,,,本科,,,,,
8000970,上海,本科批,物理,,X4B1FD0,专业组02,井冈山大学,9569,小学教育（师范类）,师范类,,,,,422,38053,,,,,,422,38053,,,,,,,,,本科,,,,,
8000971,上海,本科批,物理,,X4B1FD0,专业组01,井冈山大学,B8DA,数学与应用数学（师范类）,师范类,,,,,425,37468,,,,,,425,37468,,,,,,,,,本科,,,,,
8001510,上海,本科批,物理,,XDA307D,专业组01,中原工学院,B177,测控技术与仪器（中外合作办学）,中外合作办学,,,,,422,38053,,,,,,422,38053,,,,,,,,,本科,,,,,
8001511,上海,本科批,物理,,XDA307D,专业组01,中原工学院,D3F0,软件工程（中外合作办学）,中外合作办学,,,,,426,37259,,,,,,426,37259,,,,,,,,,本科,,,,,
8001512,上海,本科批,物理,,XDA307D,专业组01,中原工学院,8091,电气工程及其自动化（中外合作办学）,中外合作办学,,,,,429,36629,,,,,,429,36629,,,,,,,,,本科,,,,,
