id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000464,天津,本科批,物理,,XE3E6F6,专业组01,湖北汽车工业学院,2E5D,智能制造工程（汽车方向）（校本部）,汽车方向; 校本部,,,,,524,32111,,,,,,524,32111,,,,,,,,,本科,,,,,
8000465,天津,本科批,物理,,XE3E6F6,专业组01,湖北汽车工业学院,9CAC,机械设计制造及其自动化（校本部）,校本部,,,,,537,28554,,,,,,537,28554,,,,,,,,,本科,,,,,
8000851,天津,本科批,物理,,X4B1FD0,专业组01,井冈山大学,5BD6,药学（校本部）,校本部,,,,,498,39288,,,,,,498,39288,,,,,,,,,本科,,,,,
8000852,天津,本科批,物理,,X4B1FD0,专业组01,井冈山大学,0557,临床医学（校本部）,校本部,,,,,498,39288,,,,,,498,39288,,,,,,,,,本科,,,,,
8000853,天津,本科批,物理,,X4B1FD0,专业组01,井冈山大学,9CAC,机械设计制造及其自动化（校本部）,校本部,,,,,504,37627,,,,,,504,37627,,,,,,,,,本科,,,,,
8000854,天津,本科批,物理,,X4B1FD0,专业组01,井冈山大学,961E,土木工程（校本部）,校本部,,,,,504,37627,,,,,,504,37627,,,,,,,,,本科,,,,,
8000855,天津,本科批,物理,,X4B1FD0,专业组01,井冈山大学,3558,计算机科学与技术（校本部）,校本部,,,,,508,36520,,,,,,508,36520,,,,,,,,,本科,,,,,
8000856,天津,本科批,物理,,X4B1FD0,专业组01,井冈山大学,C5AD,口腔医学（校本部）,校本部,,,,,515,34510,,,,,,515,34510,,,,,,,,,本科,,,,,
8000857,天津,本科批,物理,,X4B1FD0,专业组03,井冈山大学,BC04,工程管理（校本部）,校本部,,,,,517,34001,,,,,,517,34001,,,,,,,,,本科,,,,,
8000858,天津,本科批,物理,,X4B1FD0,专业组02,井冈山大学,6549,英语（校本部）,校本部,,,,,527,31279,,,,,,527,31279,,,,,,,,,本科,,,,,
8000859,天津,本科批,物理,,X4B1FD0,专业组02,井冈山大学,FB1A,新闻学（校本部）,校本部,,,,,527,31279,,,,,,527,31279,,,,,,,,,本科,,,,,
8000860,天津,本科批,物理,,X4B1FD0,专业组02,井冈山大学,7F4F,日语（校本部）,校本部,,,,,527,31279,,,,,,527,31279,,,,,,,,,本科,,,,,
8000861,天津,本科批,物理,,X4B1FD0,专业组02,井冈山大学,C838,行政管理（校本部）,校本部,,,,,527,31279,,,,,,527,31279,,,,,,,,,本科,,,,,
8000862,天津,本科批,物理,,X4B1FD0,专业组02,井冈山大学,F1A6,法学（校本部）,校本部,,,,,530,30474,,,,,,530,30474,,,,,,,,,本科,,,,,
8000863,天津,本科批,物理,,X4B1FD0,专业组02,井冈山大学,1A00,汉语言文学（师范类）（校本部）,师范类; 校本部,,,,,531,30190,,,,,,531,30190,,,,,,,,,本科,,,,,
8001428,天津,本科批,物理,,XDA307D,专业组02,中原工学院,3A27,工业设计（入校后需加试徒手画）（龙湖校区）,入校后需加试徒手画; 龙湖校区,,,,,497,39561,,,,,,497,39561,,,,,,,,,本科,,,,,
8001429,天津,本科批,物理,,XDA307D,专业组01,中原工学院,65FB,会展经济与管理（龙湖校区）,龙湖校区,,,,,510,35951,,,,,,510,35951,,,,,,,,,本科,,,,,
8001430,天津,本科批,物理,,XDA307D,专业组01,中原工学院,0161,日语（龙湖校区）,龙湖校区,,,,,511,35651,,,,,,511,35651,,,,,,,,,本科,,,,,
8001431,天津,本科批,物理,,XDA307D,专业组03,中原工学院,877F,工程造价（龙湖校区）,龙湖校区,,,,,512,35393,,,,,,512,35393,,,,,,,,,本科,,,,,
