id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000843,新疆,本科批,历史,,XE3E6F6,,湖北汽车工业学院,CA0F,旅游管理,,,,,,334,,,,,,,334,,,,,,,,,,本科,,,,,
8000844,新疆,本科批,物理,,XE3E6F6,,湖北汽车工业学院,7ECD,光电信息科学与工程（机器视觉）,机器视觉,,,,,379,,,,,,,379,,,,,,,,,,本科,,,,,
8000845,新疆,本科批,物理,,XE3E6F6,,湖北汽车工业学院,053A,新能源材料与器件（录取条件见院校招生章程）,录取条件见院校招生章程,,,,,380,,,,,,,380,,,,,,,,,,本科,,,,,
8001424,新疆,本科批,历史,,X4B1FD0,,井冈山大学,30BC,英语（招英语语种考生）,招英语语种考生,,,,,308,,,,,,,308,,,,,,,,,,本科,,,,,
8001773,新疆,本科批,历史,,XDA307D,,中原工学院,E6CB,社会工作,,,,,,363,,,,,,,363,,,,,,,,,,本科,,,,,
8001774,新疆,本科批,历史,,XDA307D,,中原工学院,A7E8,会展经济与管理,,,,,,370,,,,,,,370,,,,,,,,,,本科,,,,,
8001775,新疆,本科批,历史,,XDA307D,,中原工学院,5E19,会计学,,,,,,400,,,,,,,400,,,,,,,,,,本科,,,,,
8001776,新疆,本科批,物理,,XDA307D,,中原工学院,234C,土木类（土木工程、城市地下空间工程）,土木工程、城市地下空间工程,,,,,326,,,,,,,326,,,,,,,,,,本科,,,,,
8001777,新疆,本科批,物理,,XDA307D,,中原工学院,CE70,工业设计（需有美术基础，入校后测试）,需有美术基础，入校后测试,,,,,328,,,,,,,328,,,,,,,,,,本科,,,,,
8001778,新疆,本科批,物理,,XDA307D,,中原工学院,57D1,服装设计与工程,,,,,,333,,,,,,,333,,,,,,,,,,本科,,,,,
8001779,新疆,本科批,物理,,XDA307D,,中原工学院,70E7,建筑学（需有美术基础，入校后测试）,需有美术基础，入校后测试,,,,,334,,,,,,,334,,,,,,,,,,本科,,,,,
