id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8006974,西藏,本科批,历史,,XADD574,,金陵科技学院,25DE,国际经济与贸易,,,,,,302,,,,,,,302,,,,,,,,,,本科,,,,,
8006975,西藏,本科批,历史,,XADD574,,金陵科技学院,4EBD,数字出版,,,,,,303,,,,,,,303,,,,,,,,,,本科,,,,,
8006976,西藏,本科批,历史,,XADD574,,金陵科技学院,09EE,市场营销,,,,,,304,,,,,,,304,,,,,,,,,,本科,,,,,
8006977,西藏,本科批,历史,,XADD574,,金陵科技学院,FBFE,物流管理,,,,,,304,,,,,,,304,,,,,,,,,,本科,,,,,
8006978,西藏,本科批,历史,,XADD574,,金陵科技学院,AC90,行政管理,,,,,,307,,,,,,,307,,,,,,,,,,本科,,,,,
8006979,西藏,本科批,历史,,XADD574,,金陵科技学院,7EA0,古典文献学,,,,,,312,,,,,,,312,,,,,,,,,,本科,,,,,
8006980,西藏,本科批,历史,,XADD574,,金陵科技学院,0FBC,金融学,,,,,,315,,,,,,,315,,,,,,,,,,本科,,,,,
8006981,西藏,本科批,物理,,XADD574,,金陵科技学院,C5CB,园艺,,,,,,283,,,,,,,283,,,,,,,,,,本科,,,,,
8006982,西藏,本科批,物理,,XADD574,,金陵科技学院,FB65,风景园林,,,,,,283,,,,,,,283,,,,,,,,,,本科,,,,,
8006983,西藏,本科批,物理,,XADD574,,金陵科技学院,CB22,城乡规划,,,,,,283,,,,,,,283,,,,,,,,,,本科,,,,,
8006984,西藏,本科批,物理,,XADD574,,金陵科技学院,A5C9,建筑学,,,,,,283,,,,,,,283,,,,,,,,,,本科,,,,,
8006985,西藏,本科批,物理,,XADD574,,金陵科技学院,6F56,工程管理,,,,,,283,,,,,,,283,,,,,,,,,,本科,,,,,
8006986,西藏,本科批,物理,,XADD574,,金陵科技学院,1231,城市地下空间工程,,,,,,284,,,,,,,284,,,,,,,,,,本科,,,,,
8006987,西藏,本科批,物理,,XADD574,,金陵科技学院,6183,宝石及材料工艺学,,,,,,285,,,,,,,285,,,,,,,,,,本科,,,,,
8006988,西藏,本科批,物理,,XADD574,,金陵科技学院,5E49,食品科学与工程,,,,,,285,,,,,,,285,,,,,,,,,,本科,,,,,
8006989,西藏,本科批,物理,,XADD574,,金陵科技学院,6995,网络工程,,,,,,285,,,,,,,285,,,,,,,,,,本科,,,,,
8006990,西藏,本科批,物理,,XADD574,,金陵科技学院,B001,信息安全,,,,,,285,,,,,,,285,,,,,,,,,,本科,,,,,
8006991,西藏,本科批,物理,,XADD574,,金陵科技学院,26A7,车辆工程,,,,,,285,,,,,,,285,,,,,,,,,,本科,,,,,
8006992,西藏,本科批,物理,,XADD574,,金陵科技学院,4ECE,土木工程,,,,,,285,,,,,,,285,,,,,,,,,,本科,,,,,
8006993,西藏,本科批,物理,,XADD574,,金陵科技学院,4B2A,信息工程,,,,,,286,,,,,,,286,,,,,,,,,,本科,,,,,
8006994,西藏,本科批,物理,,XADD574,,金陵科技学院,DB23,复合材料与工程,,,,,,286,,,,,,,286,,,,,,,,,,本科,,,,,
8006995,西藏,本科批,物理,,XADD574,,金陵科技学院,FBFE,物流管理,,,,,,286,,,,,,,286,,,,,,,,,,本科,,,,,
8006996,西藏,本科批,物理,,XADD574,,金陵科技学院,99EA,动物科学,,,,,,287,,,,,,,287,,,,,,,,,,本科,,,,,
8006997,西藏,本科批,物理,,XADD574,,金陵科技学院,6836,设施农业科学与工程,,,,,,287,,,,,,,287,,,,,,,,,,本科,,,,,
8006998,西藏,本科批,物理,,XADD574,,金陵科技学院,18D0,建筑电气与智能化,,,,,,288,,,,,,,288,,,,,,,,,,本科,,,,,
8006999,西藏,本科批,物理,,XADD574,,金陵科技学院,16DF,金融工程,,,,,,289,,,,,,,289,,,,,,,,,,本科,,,,,
