id,生源地,批次,科类,选科限制,院校代码,专业组代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平
8000057,浙江,本科批,物理,,XE3E6F6,,湖北汽车工业学院,7AAE,车辆工程（中外合作办学）（中英合作）（英语授课）,中外合作办学; 中英合作; 英语授课,,,,,507,164242,,,,,,507,164242,,,,,,,,,本科,,,,,
8000058,浙江,本科批,物理,,XE3E6F6,,湖北汽车工业学院,1C92,数字经济,,,,,,524,143902,,,,,,524,143902,,,,,,,,,本科,,,,,
8000059,浙江,本科批,物理,,XE3E6F6,,湖北汽车工业学院,9A06,储能科学与工程,,,,,,528,138938,,,,,,528,138938,,,,,,,,,本科,,,,,
8000060,浙江,本科批,物理,,XE3E6F6,,湖北汽车工业学院,F11A,机器人工程,,,,,,529,137647,,,,,,529,137647,,,,,,,,,本科,,,,,
8000061,浙江,本科批,物理,,XE3E6F6,,湖北汽车工业学院,F7D1,人工智能（汽车智能安全）,汽车智能安全,,,,,531,135078,,,,,,531,135078,,,,,,,,,本科,,,,,
8000062,浙江,本科批,物理,,XE3E6F6,,湖北汽车工业学院,6F1E,智能车辆工程（智能驾驶）,智能驾驶,,,,,531,135175,,,,,,531,135175,,,,,,,,,本科,,,,,
8000063,浙江,本科批,物理,,XE3E6F6,,湖北汽车工业学院,3C38,软件工程,,,,,,531,135540,,,,,,531,135540,,,,,,,,,本科,,,,,
8000064,浙江,本科批,物理,,XE3E6F6,,湖北汽车工业学院,29F4,物联网工程,,,,,,531,135736,,,,,,531,135736,,,,,,,,,本科,,,,,
8000065,浙江,本科批,物理,,XE3E6F6,,湖北汽车工业学院,B9E2,智能电网信息工程,,,,,,531,135204,,,,,,531,135204,,,,,,,,,本科,,,,,
8000066,浙江,本科批,物理,,XE3E6F6,,湖北汽车工业学院,D078,新能源汽车工程,,,,,,532,134689,,,,,,532,134689,,,,,,,,,本科,,,,,
8000067,浙江,本科批,物理,,XE3E6F6,,湖北汽车工业学院,26A7,车辆工程,,,,,,542,122254,,,,,,542,122254,,,,,,,,,本科,,,,,
8000226,浙江,本科批,物理,,X4B1FD0,,井冈山大学,E908,软件工程（中外合作办学）（与俄罗斯伊热夫斯克国立技术大学合作办学）,中外合作办学; 与俄罗斯伊热夫斯克国立技术大学合作办学,,,,,492,181377,,,,,,492,181377,,,,,,,,,本科,,,,,
8000227,浙江,本科批,物理,,X4B1FD0,,井冈山大学,B5AE,化学,,,,,,517,152352,,,,,,517,152352,,,,,,,,,本科,,,,,
8000228,浙江,本科批,物理,,X4B1FD0,,井冈山大学,A39E,预防医学,,,,,,523,144852,,,,,,523,144852,,,,,,,,,本科,,,,,
8000229,浙江,本科批,物理,,X4B1FD0,,井冈山大学,4BF3,护理学,,,,,,524,143863,,,,,,524,143863,,,,,,,,,本科,,,,,
8000230,浙江,本科批,物理,,X4B1FD0,,井冈山大学,97D0,临床医学,,,,,,556,104281,,,,,,556,104281,,,,,,,,,本科,,,,,
8000231,浙江,本科批,物理,,X4B1FD0,,井冈山大学,B9A5,计算机科学与技术,,,,,,556,104308,,,,,,556,104308,,,,,,,,,本科,,,,,
8000232,浙江,本科批,物理,,X4B1FD0,,井冈山大学,A9F4,德语,,,,,,568,90496,,,,,,568,90496,,,,,,,,,本科,,,,,
8000233,浙江,本科批,物理,,X4B1FD0,,井冈山大学,671C,日语,,,,,,569,88473,,,,,,569,88473,,,,,,,,,本科,,,,,
8000234,浙江,本科批,物理,,X4B1FD0,,井冈山大学,3629,会计学（中英学分互认）（与英国切斯特大学2+2/3+1双学位联合培养（学生自愿出国。不出国仅获中方学位）。四年均须向中方大学缴纳学费。赴外期间须向外方大学缴纳学费）,中英学分互认; 与英国切斯特大学2+2/3+1双学位联合培养（学生自愿出国。不出国仅获中方学位,,,,,569,88687,,,,,,569,88687,,,,,,,,,本科,,,,,
8000235,浙江,本科批,物理,,X4B1FD0,,井冈山大学,4852,应用心理学,,,,,,572,85445,,,,,,572,85445,,,,,,,,,本科,,,,,
8000236,浙江,本科批,物理,,X4B1FD0,,井冈山大学,0A1A,小学教育（师范）,师范,,,,,573,84602,,,,,,573,84602,,,,,,,,,本科,,,,,
8000237,浙江,本科批,物理,,X4B1FD0,,井冈山大学,D43F,西班牙语,,,,,,574,83365,,,,,,574,83365,,,,,,,,,本科,,,,,
8000238,浙江,本科批,物理,,X4B1FD0,,井冈山大学,68F4,新闻学,,,,,,576,79913,,,,,,576,79913,,,,,,,,,本科,,,,,
8000239,浙江,本科批,物理,,X4B1FD0,,井冈山大学,A615,汉语国际教育,,,,,,580,76018,,,,,,580,76018,,,,,,,,,本科,,,,,
